fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,total_rules,stop_gen_mean,stop_gen_std,stop_gen_min,stop_gen_max,best_fitness_mean,best_fitness_std,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,mse_chance_mean,mse_chance_std,mse_utility_mean,mse_utility_std,entropy_norm_mean,entropy_norm_std,util_dev_mean,util_dev_std
softmax,top70,2,10,20,12.40,0.80,12,14,0.000161,0.000033,85.00,6.32,75.00,95.00,0.743324,0.194042,10.320237,2.709015,8.807904,0.675160,43.259688,1.026030
softmax,top70,4,20,20,16.00,2.53,13,19,0.208119,0.412585,84.00,6.63,75.00,95.00,0.580198,0.062565,8.498402,1.693584,9.368426,1.240219,41.433216,2.260204
softmax,top70,8,40,20,23.40,7.68,13,34,0.101640,0.187567,86.00,6.63,75.00,95.00,0.919338,0.280509,10.539160,5.670585,9.265351,0.665556,39.840899,2.600200
softmax,top70,12,60,20,33.00,14.82,15,60,0.736734,1.381853,91.00,4.90,85.00,95.00,1.094750,0.309155,11.831600,2.602802,9.221219,1.701011,40.810279,1.403771
softmax,top90,1,5,20,11.00,1.41,9,13,0.000055,0.000012,80.00,4.47,75.00,85.00,0.726670,0.155448,9.938642,3.315203,9.269264,0.484010,43.383421,0.567006
softmax,top90,2,10,20,14.00,1.10,13,16,0.000115,0.000009,88.00,4.00,85.00,95.00,0.608084,0.112981,11.389061,1.660808,8.710201,0.544288,43.385472,1.447616
softmax,top90,4,20,20,17.20,2.79,13,20,0.208142,0.412575,80.00,6.32,70.00,85.00,0.607307,0.068245,10.185758,1.276998,9.482313,0.491431,41.298364,2.353984
softmax,top90,8,40,20,24.60,8.24,13,36,0.099991,0.188292,88.00,7.48,75.00,95.00,0.914077,0.271776,10.926148,5.420308,8.911821,0.605679,39.567551,3.353778
softmax,top90,12,60,20,35.40,14.51,15,60,0.738151,1.381149,89.00,4.90,85.00,95.00,1.148692,0.354572,13.457300,1.364074,9.075598,1.871986,40.594890,2.072780
regret,top10,1,5,20,1.00,0.00,1,1,0.000000,0.000000,79.00,5.83,70.00,85.00,0.622248,0.092837,7.308895,1.417350,8.123379,0.559495,44.080043,0.266595
regret,top10,2,10,20,1.00,0.00,1,1,0.000000,0.000000,79.00,5.83,70.00,85.00,0.622248,0.092837,7.308895,1.417350,8.123379,0.559495,44.080043,0.266595
regret,top10,4,20,20,2.00,1.10,1,4,0.000000,0.000000,82.00,4.00,75.00,85.00,0.599975,0.093254,7.144988,2.024324,8.398237,0.458499,43.632905,0.496168
regret,top10,8,40,20,12.40,5.99,7,23,0.000000,0.000000,90.00,6.32,80.00,95.00,0.832873,0.293656,7.268043,2.214718,9.489415,0.404122,42.872792,1.053780
regret,top10,12,60,20,18.20,9.06,9,31,0.001509,0.002931,91.00,7.35,80.00,100.00,1.047683,0.513391,12.192524,8.539448,9.501943,0.770727,38.976617,4.723022
regret,top30,1,5,20,1.00,0.00,1,1,0.000000,0.000000,79.00,5.83,70.00,85.00,0.622248,0.092837,7.308895,1.417350,8.123379,0.559495,44.080043,0.266595
regret,top30,2,10,20,2.20,1.60,1,5,0.000000,0.000000,80.00,4.47,75.00,85.00,0.621306,0.095992,6.518732,1.983156,8.355801,0.715765,43.680053,0.681439
regret,top30,4,20,20,10.00,3.90,6,17,0.000000,0.000000,82.00,4.00,75.00,85.00,0.765659,0.149825,8.502871,4.154415,9.617115,0.595806,41.483665,1.820055
