mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,total_rules,stop_gen_mean,stop_gen_std,stop_gen_min,stop_gen_max,fitness_mean,fitness_std,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,mse_chance_mean,mse_chance_std,mse_utility_mean,mse_utility_std,entropy_norm_mean,entropy_norm_std,util_dev_mean,util_dev_std,cpu_per_gen_mean,cpu_per_gen_std,cpu_total_mean,cpu_total_std
utility_only,non_symmetric,1.0,1.0,regret,top50,3,5,67,5.80,3.12,2,10,0.107464,0.108024,89.55,6.26,83.58,98.51,0.000000,0.000000,27.900767,1.718947,1062.290878,0.000000,634.109967,17.239025,13.5339,0.1205,78.1500,41.5851
utility_only,non_symmetric,1.0,1.0,regret,top50,13,20,67,13.40,1.85,10,15,0.220650,0.309625,99.40,1.19,97.01,100.00,0.000000,0.000000,33.044136,1.218928,1062.290878,0.000000,671.000030,7.663076,13.3747,0.0990,179.2188,24.8896
utility_only,non_symmetric,1.0,1.0,regret,top50,27,40,67,16.60,1.74,14,19,0.067038,0.022574,100.00,0.00,100.00,100.00,0.000000,0.000000,34.634759,1.972560,1062.290878,0.000000,511.011921,39.532520,13.1635,0.0479,218.5250,22.9931
utility_only,non_symmetric,1.0,1.0,binary,top50,3,5,67,8.20,5.00,3,15,0.692000,0.226133,86.27,5.12,82.09,95.52,0.000000,0.000000,29.123269,1.912518,1062.290878,0.000000,666.405845,26.106738,13.1415,0.0759,107.9500,66.1209
utility_only,non_symmetric,1.0,1.0,binary,top50,13,20,67,28.80,3.49,25,33,0.876000,0.222495,93.73,3.58,89.55,100.00,0.000000,0.000000,31.842329,3.370385,1062.290878,0.000000,666.376470,63.621526,13.1091,0.0380,377.5625,45.9301
utility_only,non_symmetric,1.0,1.0,binary,top50,27,40,67,52.00,9.80,40,60,0.992000,0.340494,97.61,2.77,92.54,100.00,0.000000,0.000000,30.816528,2.192670,1062.290878,0.000000,667.084576,52.253050,13.1745,0.0549,685.4719,131.0497
