mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,generation,mean_fitness,mean_accuracy,mean_error_chance,mean_error_utility,mean_entropy_norm,mean_util_dev,mean_gen_cpu
both,non_symmetric,1.0,1.0,binary,top50,8,40,13,0.936000,71.08,1.599938,24.080723,6.822639,39.286849,0.3219
both,non_symmetric,1.0,1.0,binary,top50,8,40,14,0.808000,71.76,1.609341,23.973728,6.590847,39.589455,0.3281
both,non_symmetric,1.0,1.0,binary,top50,8,40,15,0.832000,71.80,1.580911,24.165246,6.782163,39.563362,0.3219
both,non_symmetric,1.0,1.0,binary,top50,8,40,16,0.708000,72.68,1.588666,24.172400,6.725018,39.666295,0.3344
both,non_symmetric,1.0,1.0,binary,top50,8,40,17,0.752000,71.98,1.583500,24.457778,6.660210,39.566253,0.3281
both,non_symmetric,1.0,1.0,binary,top50,8,40,18,0.624000,73.36,1.572361,24.649552,6.531108,39.427117,0.3156
both,non_symmetric,1.0,1.0,margin,top50,1,5,1,1.713215,51.24,1.430836,18.728298,12.971466,37.031858,0.0375
both,non_symmetric,1.0,1.0,margin,top50,1,5,2,0.992604,51.02,1.429960,18.595723,12.898151,36.279303,0.5281
both,non_symmetric,1.0,1.0,margin,top50,1,5,3,0.729911,53.14,1.421935,19.361016,12.053202,37.294045,0.4406
both,non_symmetric,1.0,1.0,margin,top50,2,10,1,3.286475,51.24,1.430836,18.728298,12.971466,37.031858,0.0469
both,non_symmetric,1.0,1.0,margin,top50,2,10,2,2.506814,52.70,1.463256,17.797201,12.403732,36.224801,0.5687
both,non_symmetric,1.0,1.0,margin,top50,2,10,3,1.853925,54.90,1.492114,18.722345,11.080119,36.825210,0.4562
both,non_symmetric,1.0,1.0,margin,top50,2,10,4,1.812285,55.48,1.592063,18.136542,10.104421,37.826433,0.3937
both,non_symmetric,1.0,1.0,margin,top50,2,10,5,1.356061,57.80,1.662217,17.936576,9.765521,38.310884,0.4062
both,non_symmetric,1.0,1.0,margin,top50,2,10,6,1.210253,59.12,1.703656,17.427400,9.612628,38.333879,0.4031
both,non_symmetric,1.0,1.0,margin,top50,2,10,7,0.930630,59.48,1.770712,17.826479,9.233282,38.871643,0.3969
both,non_symmetric,1.0,1.0,margin,top50,2,10,8,0.875897,59.60,1.839116,17.571500,8.749527,38.752454,0.3812
both,non_symmetric,1.0,1.0,margin,top50,2,10,9,0.775738,59.26,1.832814,17.987984,8.682697,38.619075,0.3969
both,non_symmetric,1.0,1.0,margin,top50,4,20,1,6.913955,51.24,1.430836,18.728298,12.971466,37.031858,0.0375
both,non_symmetric,1.0,1.0,margin,top50,4,20,2,5.475291,53.38,1.399058,16.975618,12.758169,36.218196,0.5437
both,non_symmetric,1.0,1.0,margin,top50,4,20,3,4.786314,55.54,1.428784,17.778940,11.387918,37.136419,0.4125
both,non_symmetric,1.0,1.0,margin,top50,4,20,4,3.893129,55.74,1.462023,18.437007,10.494359,37.287646,0.3656
both,non_symmetric,1.0,1.0,margin,top50,4,20,5,3.301514,58.30,1.525431,18.839241,9.494338,38.090038,0.3844
both,non_symmetric,1.0,1.0,margin,top50,4,20,6,2.757708,60.44,1.586469,18.754070,9.096879,38.153227,0.3906
both,non_symmetric,1.0,1.0,margin,top50,4,20,7,2.342376,59.30,1.579077,18.849098,8.674784,38.235744,0.3531
both,non_symmetric,1.0,1.0,margin,top50,4,20,8,2.153375,60.32,1.607228,19.236073,8.221827,38.632809,0.3750
both,non_symmetric,1.0,1.0,margin,top50,4,20,9,1.781947,61.48,1.670989,19.091589,7.913158,38.488149,0.3375
both,non_symmetric,1.0,1.0,margin,top50,4,20,10,1.503832,62.60,1.677638,19.683795,7.802231,38.516750,0.3656
both,non_symmetric,1.0,1.0,margin,top50,4,20,11,1.387084,62.68,1.675226,19.446245,7.805319,38.745224,0.3469
both,non_symmetric,1.0,1.0,margin,top50,4,20,12,1.140604,62.98,1.678373,19.522792,7.570814,38.789285,0.3438
both,non_symmetric,1.0,1.0,margin,top50,4,20,13,1.104031,63.98,1.678167,19.254068,7.746878,39.107405,0.3625
both,non_symmetric,1.0,1.0,margin,top50,4,20,14,1.043418,64.70,1.679027,19.366526,7.816876,39.395039,0.3563
both,non_symmetric,1.0,1.0,margin,top50,8,40,1,13.202423,51.24,1.430836,18.728298,12.971466,37.031858,0.0406
both,non_symmetric,1.0,1.0,margin,top50,8,40,2,12.161270,52.38,1.400200,17.110971,12.715571,36.078733,0.5437
both,non_symmetric,1.0,1.0,margin,top50,8,40,3,11.006065,53.98,1.497702,16.911118,11.915699,36.496061,0.3781
both,non_symmetric,1.0,1.0,margin,top50,8,40,4,8.739012,57.00,1.509633,17.729665,11.166113,36.964501,0.3531
both,non_symmetric,1.0,1.0,margin,top50,8,40,5,8.237045,59.30,1.497909,17.530697,10.385673,36.988513,0.3844
both,non_symmetric,1.0,1.0,margin,top50,8,40,6,6.484224,62.20,1.587032,16.953199,9.824052,37.367293,0.3625
both,non_symmetric,1.0,1.0,margin,top50,8,40,7,5.532973,63.50,1.717082,17.176884,9.319913,38.112070,0.3563
both,non_symmetric,1.0,1.0,margin,top50,8,40,8,5.842049,64.32,1.682688,18.184326,9.217611,38.742523,0.3906
both,non_symmetric,1.0,1.0,margin,top50,8,40,9,5.071699,66.56,1.675283,18.245215,8.723630,39.175815,0.3625
both,non_symmetric,1.0,1.0,margin,top50,8,40,10,4.407330,66.52,1.719423,18.147518,8.892469,39.238916,0.3250
both,non_symmetric,1.0,1.0,margin,top50,8,40,11,4.194359,68.92,1.701865,18.795377,8.644088,39.496424,0.3594
both,non_symmetric,1.0,1.0,margin,top50,8,40,12,3.781390,69.04,1.759322,19.345082,8.270886,39.717755,0.3563
both,non_symmetric,1.0,1.0,margin,top50,8,40,13,3.766052,70.64,1.818781,19.777990,8.290246,39.741345,0.3031
both,non_symmetric,1.0,1.0,margin,top50,8,40,14,3.385725,69.26,1.815704,20.378967,8.325057,39.836166,0.3063
both,non_symmetric,1.0,1.0,margin,top50,8,40,15,2.949275,71.92,1.841106,20.839720,7.885641,40.033344,0.3187
both,non_symmetric,1.0,1.0,margin,top50,8,40,16,2.774100,71.60,1.879417,20.916868,7.865608,39.807372,0.3094
both,non_symmetric,1.0,1.0,margin,top50,8,40,17,2.400830,72.12,1.945567,21.663193,7.423979,40.376094,0.3500
both,non_symmetric,1.0,1.0,margin,top50,8,40,18,1.621878,71.72,1.964231,21.725409,7.273498,40.276681,0.3469
both,non_symmetric,1.0,1.0,margin,top50,8,40,19,1.530854,71.10,1.943120,21.474808,7.397145,40.510620,0.3156
both,non_symmetric,1.0,1.0,margin,top50,8,40,20,1.463803,72.14,1.928336,21.562990,7.384759,40.691708,0.3531
both,non_symmetric,1.0,1.0,margin,top50,8,40,21,1.447848,72.44,1.928808,21.686911,7.359475,40.776597,0.3500
both,non_symmetric,1.0,1.0,margin,top50,8,40,22,1.317871,72.34,1.942473,21.883486,7.361259,40.528979,0.3219
both,non_symmetric,1.0,1.0,margin,top50,8,40,23,1.207680,72.10,1.932018,21.998137,7.379911,40.637389,0.3375
both,non_symmetric,1.0,1.0,margin,top50,8,40,24,1.277258,71.98,1.918030,21.980683,7.382324,40.534823,0.3375
both,non_symmetric,1.0,1.0,margin,top50,8,40,25,1.188451,71.52,1.942842,21.648247,7.349574,40.771742,0.3156
both,non_symmetric,1.0,1.0,margin,top50,8,40,26,1.195081,71.72,1.945402,21.616379,7.363231,40.698393,0.3156
both,non_symmetric,1.0,1.0,softmax,top50,1,5,1,1.359765,51.24,1.430836,18.728298,12.971466,37.031858,0.0406
both,non_symmetric,1.0,1.0,softmax,top50,1,5,2,1.067958,51.26,1.460533,18.465165,12.655139,35.933705,0.5281
both,non_symmetric,1.0,1.0,softmax,top50,1,5,3,0.833456,52.54,1.468408,19.379246,11.624900,36.419798,0.4000
both,non_symmetric,1.0,1.0,softmax,top50,1,5,4,0.673570,51.92,1.538773,18.981875,10.945715,37.640532,0.3438
both,non_symmetric,1.0,1.0,softmax,top50,1,5,5,0.472056,53.32,1.551210,19.618676,10.376599,38.077032,0.3688
both,non_symmetric,1.0,1.0,softmax,top50,1,5,6,0.529835,55.76,1.574426,20.136002,9.681616,37.922376,0.3563
both,non_symmetric,1.0,1.0,softmax,top50,1,5,7,0.447654,56.08,1.570296,20.511611,9.434607,37.866777,0.3719
both,non_symmetric,1.0,1.0,softmax,top50,1,5,8,0.490897,55.44,1.612103,20.370282,9.152838,38.551023,0.3375
both,non_symmetric,1.0,1.0,softmax,top50,1,5,9,0.460792,56.32,1.627980,20.028928,9.202253,38.437462,0.3312
both,non_symmetric,1.0,1.0,softmax,top50,2,10,1,2.607665,51.24,1.430836,18.728298,12.971466,37.031858,0.0344
both,non_symmetric,1.0,1.0,softmax,top50,2,10,2,1.687644,54.38,1.455919,17.882660,12.186533,36.575904,0.5781
both,non_symmetric,1.0,1.0,softmax,top50,2,10,3,1.405529,56.38,1.536271,18.142596,11.048820,36.985695,0.4313
both,non_symmetric,1.0,1.0,softmax,top50,2,10,4,1.393826,57.82,1.549545,18.695107,10.757357,37.476125,0.4031
both,non_symmetric,1.0,1.0,softmax,top50,2,10,5,1.219407,57.46,1.569090,18.799982,9.909909,37.760922,0.3250
both,non_symmetric,1.0,1.0,softmax,top50,2,10,6,1.094881,59.48,1.650343,18.965503,9.452014,37.837486,0.3281
both,non_symmetric,1.0,1.0,softmax,top50,2,10,7,0.789015,59.04,1.645343,19.651396,9.324134,38.533553,0.3125
both,non_symmetric,1.0,1.0,softmax,top50,2,10,8,0.652156,60.24,1.593512,18.966871,8.977822,38.919878,0.3406
