mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,total_rules,stop_gen_mean,stop_gen_std,stop_gen_min,stop_gen_max,fitness_mean,fitness_std,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,mse_chance_mean,mse_chance_std,mse_utility_mean,mse_utility_std,entropy_norm_mean,entropy_norm_std,util_dev_mean,util_dev_std,cpu_per_gen_mean,cpu_per_gen_std,cpu_total_mean,cpu_total_std
both,symmetric,1.0,1.0,binary,top50,8,40,20,13.60,0.80,13,15,0.867500,0.118396,100.00,0.00,100.00,100.00,0.797097,0.059867,8.357654,1.389463,0.412628,0.000000,44.444444,0.000000,0.5122,0.0238,6.9562,0.3583
both,symmetric,1.0,1.0,margin,top50,1,5,20,3.60,0.49,3,4,0.871328,0.070027,91.00,3.74,85.00,95.00,0.588618,0.064688,5.606209,0.525418,3.248659,0.778058,44.438626,0.010798,0.5266,0.0438,1.8781,0.1698
both,symmetric,1.0,1.0,margin,top50,2,10,20,8.80,3.19,4,14,1.298243,0.411965,97.00,2.45,95.00,100.00,0.722410,0.098532,8.668444,1.587208,0.962630,1.099993,44.444438,0.000012,0.5381,0.0400,4.7406,1.8574
both,symmetric,1.0,1.0,margin,top50,4,20,20,31.80,23.05,11,60,1.885183,0.854656,100.00,0.00,100.00,100.00,0.748384,0.059013,9.055828,1.175598,0.412628,0.000000,44.444444,0.000000,0.5367,0.0137,16.9937,12.2701
both,symmetric,1.0,1.0,margin,top50,8,40,20,39.40,17.32,19,60,2.078476,1.215978,98.00,2.45,95.00,100.00,1.043765,0.123990,14.532535,2.943310,0.412628,0.000000,44.444444,0.000000,0.5221,0.0109,20.5625,8.9833
both,symmetric,1.0,1.0,softmax,top50,1,5,20,5.40,0.49,5,6,0.655893,0.098890,96.00,2.00,95.00,100.00,0.552433,0.060805,8.193508,1.613606,1.499398,0.444250,44.444442,0.000005,0.5089,0.0258,2.7375,0.1510
both,symmetric,1.0,1.0,softmax,top50,2,10,20,10.00,2.83,6,14,0.803817,0.138947,98.00,2.45,95.00,100.00,0.779305,0.082267,9.344661,1.743446,0.550016,0.274769,44.444444,0.000000,0.5060,0.0387,5.0344,1.3825
both,symmetric,1.0,1.0,softmax,top50,4,20,20,14.60,2.06,13,18,1.283571,0.184054,99.00,2.00,95.00,100.00,0.727763,0.162820,8.872261,0.949495,0.412628,0.000000,44.444444,0.000000,0.4148,0.0950,5.9625,1.1310
both,symmetric,1.0,1.0,softmax,top50,8,40,20,20.20,2.93,15,24,2.652362,1.133958,99.00,2.00,95.00,100.00,0.954270,0.208526,11.871704,1.536631,0.412628,0.000000,44.444444,0.000000,0.3384,0.0118,6.8406,1.0345
both,symmetric,1.0,1.0,regret,top50,1,5,20,2.00,0.00,2,2,0.669390,0.094240,92.00,6.00,85.00,100.00,0.537238,0.040890,5.093855,0.561659,6.550224,0.471499,44.390031,0.045166,0.3094,0.0106,0.6188,0.0212
both,symmetric,1.0,1.0,regret,top50,2,10,20,3.60,0.80,2,4,1.186550,0.182654,94.00,2.00,90.00,95.00,0.596936,0.031825,6.112099,0.669944,3.288490,1.256934,44.420078,0.047981,0.3203,0.0116,1.1531,0.2604
both,symmetric,1.0,1.0,regret,top50,4,20,20,7.40,1.20,6,9,1.435327,0.174735,100.00,0.00,100.00,100.00,0.691336,0.081485,6.687672,0.717304,0.626649,0.248802,44.444444,0.000000,0.3099,0.0072,2.2938,0.3852
both,symmetric,1.0,1.0,regret,top50,8,40,20,10.40,0.49,10,11,2.076899,0.294569,100.00,0.00,100.00,100.00,0.737817,0.113813,8.118306,0.650593,0.412628,0.000000,44.444444,0.000000,0.3129,0.0066,3.2531,0.1480
both,symmetric,1.0,1.0,entropy,top50,1,5,20,5.20,0.40,5,6,0.677254,0.097973,93.00,4.00,85.00,95.00,0.567587,0.078063,7.791918,1.689804,1.502311,0.443443,44.444442,0.000005,0.3138,0.0058,1.6313,0.1252
both,symmetric,1.0,1.0,entropy,top50,2,10,20,9.20,2.14,7,13,0.931421,0.156083,97.00,2.45,95.00,100.00,0.681530,0.112288,8.404341,1.722573,0.438655,0.048693,44.444444,0.000000,0.3261,0.0085,2.9969,0.6769
both,symmetric,1.0,1.0,entropy,top50,4,20,20,14.20,2.64,12,19,1.308927,0.136627,100.00,0.00,100.00,100.00,0.818692,0.146519,10.340539,1.543965,0.412628,0.000000,44.444444,0.000000,0.3287,0.0082,4.6750,0.9159
both,symmetric,1.0,1.0,entropy,top50,8,40,20,19.20,3.37,15,23,3.456459,1.210550,100.00,0.00,100.00,100.00,0.745372,0.208696,10.337307,1.958482,0.412628,0.000000,44.444444,0.000000,0.3531,0.0060,6.7812,1.2166
