mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,generation,mean_fitness,mean_accuracy,mean_error_chance,mean_error_utility,mean_entropy_norm,mean_util_dev,mean_gen_cpu
both,non_symmetric,1.0,1.0,margin,top50,1,5,5,0.627246,55.58,1.376558,16.999428,14.886065,35.743858,0.0813
both,non_symmetric,1.0,1.0,margin,top50,1,5,6,0.588330,55.44,1.373120,17.182902,14.827058,35.519442,0.0844
both,non_symmetric,1.0,1.0,margin,top50,2,10,1,3.286475,51.24,1.430836,18.728298,12.971466,37.031858,0.0844
both,non_symmetric,1.0,1.0,margin,top50,2,10,2,2.627673,51.42,1.314522,16.329465,14.594183,35.562915,0.0906
both,non_symmetric,1.0,1.0,margin,top50,2,10,3,2.003697,53.06,1.316655,16.265867,14.670820,35.982656,0.0781
both,non_symmetric,1.0,1.0,margin,top50,2,10,4,1.952879,54.88,1.299141,15.753159,15.035008,35.049823,0.0781
both,non_symmetric,1.0,1.0,margin,top50,2,10,5,1.482402,57.22,1.285947,15.744344,15.043825,34.939145,0.0688
both,non_symmetric,1.0,1.0,margin,top50,2,10,6,1.135109,57.12,1.251386,15.724925,15.207529,35.312601,0.0656
both,non_symmetric,1.0,1.0,margin,top50,2,10,7,0.969788,58.68,1.217569,14.803738,15.357314,34.574730,0.0656
both,non_symmetric,1.0,1.0,margin,top50,2,10,8,0.879531,59.14,1.231587,14.772802,15.473027,34.744078,0.0656
both,non_symmetric,1.0,1.0,margin,top50,2,10,9,0.787395,60.30,1.231357,14.701621,15.471249,34.680819,0.0656
both,non_symmetric,1.0,1.0,margin,top50,4,20,1,6.913955,51.24,1.430836,18.728298,12.971466,37.031858,0.0406
both,non_symmetric,1.0,1.0,margin,top50,4,20,2,5.895326,51.96,1.299652,16.265409,14.680798,35.702945,0.0437
both,non_symmetric,1.0,1.0,margin,top50,4,20,3,5.036229,52.94,1.313855,16.074902,14.790923,35.861487,0.0531
both,non_symmetric,1.0,1.0,margin,top50,4,20,4,5.046014,53.58,1.329552,15.218925,14.984073,35.200592,0.0469
both,non_symmetric,1.0,1.0,margin,top50,4,20,5,4.390910,56.60,1.365865,15.525151,14.980739,35.735399,0.0469
both,non_symmetric,1.0,1.0,margin,top50,4,20,6,4.098700,56.74,1.308884,15.977110,15.140718,35.392670,0.0500
both,non_symmetric,1.0,1.0,margin,top50,4,20,7,3.293795,58.86,1.254774,15.053560,15.358114,34.954235,0.0469
both,non_symmetric,1.0,1.0,margin,top50,4,20,8,2.765216,62.18,1.289809,14.727777,15.442031,34.398595,0.0469
both,non_symmetric,1.0,1.0,margin,top50,4,20,9,1.907894,64.96,1.251646,15.035011,15.562388,35.563591,0.0469
both,non_symmetric,1.0,1.0,margin,top50,4,20,10,1.536203,63.62,1.260429,14.462548,15.667308,35.437788,0.0563
both,non_symmetric,1.0,1.0,margin,top50,4,20,11,1.222461,64.54,1.277336,15.142679,15.703980,35.545106,0.0469
both,non_symmetric,1.0,1.0,margin,top50,4,20,12,0.764788,66.68,1.260110,15.106126,15.729531,35.568709,0.0531
both,non_symmetric,1.0,1.0,margin,top50,4,20,13,0.621431,67.36,1.266401,15.572781,15.676312,35.323384,0.0500
