mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,total_rules,rep,seed,stop_generation,best_fitness,best_accuracy,best_mse_chance,best_mse_utility,best_entropy_norm,best_util_dev,cpu_per_gen,cpu_total
both,symmetric,1.0,1.0,margin,top50,8,40,20,0,42,16,0.811710,95.00,0.580504,4.755914,6.976289,40.711913,0.0439,0.7031
both,symmetric,1.0,1.0,margin,top50,8,40,20,1,43,18,0.533233,95.00,0.956089,2.071045,8.861181,41.242548,0.0425,0.7656
both,symmetric,1.0,1.0,margin,top50,8,40,20,2,44,36,1.186190,95.00,1.432920,8.743867,0.806463,42.038987,0.0412,1.4844
both,symmetric,1.0,1.0,margin,top50,8,40,20,3,45,13,0.575243,95.00,0.619909,5.792391,9.615428,40.586366,0.0445,0.5781
both,symmetric,1.0,1.0,margin,top50,8,40,20,4,46,13,0.414402,85.00,0.596506,6.547820,11.447664,42.009859,0.0421,0.5469
both,symmetric,1.0,1.0,margin,top50,8,40,20,5,47,17,0.676113,85.00,0.806336,8.436249,5.387210,42.377094,0.0432,0.7344
both,symmetric,1.0,1.0,margin,top50,8,40,20,6,48,17,0.360469,95.00,0.666795,6.366957,11.993720,40.440210,0.0432,0.7344
both,symmetric,1.0,1.0,margin,top50,8,40,20,7,49,20,0.505369,95.00,0.807412,8.002903,7.471226,42.660506,0.0406,0.8125
both,symmetric,1.0,1.0,margin,top50,8,40,20,8,50,47,0.679427,85.00,1.425144,10.277724,0.668203,39.999998,0.0439,2.0625
both,symmetric,1.0,1.0,margin,top50,8,40,20,9,51,60,2.259328,95.00,0.619168,20.717709,0.528422,44.444444,0.0432,2.5938
both,symmetric,1.0,1.0,softmax,top50,1,5,20,0,42,5,0.085185,85.00,0.614020,5.815502,10.199387,40.959678,0.0406,0.2031
both,symmetric,1.0,1.0,softmax,top50,1,5,20,1,43,5,0.131751,85.00,0.614713,4.301071,8.442470,41.764881,0.0437,0.2188
both,symmetric,1.0,1.0,softmax,top50,1,5,20,2,44,8,0.042499,95.00,0.783670,4.350163,5.648672,41.737266,0.0430,0.3438
both,symmetric,1.0,1.0,softmax,top50,1,5,20,3,45,5,0.158769,95.00,0.820707,5.792033,12.254096,38.692337,0.0437,0.2188
both,symmetric,1.0,1.0,softmax,top50,1,5,20,4,46,6,0.218606,85.00,0.633741,5.173017,9.982935,41.866201,0.0417,0.2500
both,symmetric,1.0,1.0,softmax,top50,1,5,20,5,47,8,0.067388,80.00,0.623439,8.782586,10.819200,42.536233,0.0488,0.3906
both,symmetric,1.0,1.0,softmax,top50,1,5,20,6,48,8,0.047488,85.00,0.516552,1.897406,12.044541,37.938789,0.0469,0.3750
both,symmetric,1.0,1.0,softmax,top50,1,5,20,7,49,5,0.040059,80.00,0.521401,6.869400,11.010483,42.776517,0.0437,0.2188
both,symmetric,1.0,1.0,softmax,top50,1,5,20,8,50,8,0.125870,90.00,0.955723,3.230686,9.981878,44.070021,0.0430,0.3438
both,symmetric,1.0,1.0,softmax,top50,1,5,20,9,51,7,0.136465,95.00,0.520041,5.580225,6.094038,44.147559,0.0446,0.3125
both,symmetric,1.0,1.0,softmax,top50,2,10,20,0,42,10,0.053938,85.00,0.666118,3.352032,10.353162,40.544322,0.0453,0.4531
