mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,generation,mean_fitness,mean_accuracy,mean_error_chance,mean_error_utility,mean_entropy_norm,mean_util_dev,mean_gen_cpu
both,non_symmetric,1.0,1.0,binary,top50,8,40,14,1.082000,72.57,1.726421,19.691607,6.099838,38.585666,0.3797
both,non_symmetric,1.0,1.0,binary,top50,8,40,15,1.018000,72.68,1.751992,19.573221,5.827697,38.409159,0.3703
both,non_symmetric,1.0,1.0,binary,top50,8,40,16,0.918000,73.42,1.735417,19.671808,5.625332,38.733237,0.3625
both,non_symmetric,1.0,1.0,binary,top50,8,40,17,0.896000,73.84,1.753681,19.620152,5.614346,38.984151,0.3797
both,non_symmetric,1.0,1.0,binary,top50,8,40,18,0.888000,74.31,1.770152,19.854399,5.557358,39.032939,0.3594
both,non_symmetric,1.0,1.0,binary,top50,8,40,19,0.830000,74.06,1.774640,19.795517,5.493800,39.306241,0.3563
both,non_symmetric,1.0,1.0,binary,top50,8,40,20,0.804000,74.91,1.787287,19.716243,5.442881,39.282019,0.4016
both,non_symmetric,1.0,1.0,binary,top50,8,40,21,0.798000,75.16,1.790228,19.756411,5.442336,39.251864,0.3781
both,non_symmetric,1.0,1.0,binary,top50,8,40,22,0.826000,75.09,1.796473,19.653968,5.362846,39.243986,0.3766
both,non_symmetric,1.0,1.0,binary,top50,8,40,23,0.806000,75.19,1.809325,19.696478,5.352851,39.210792,0.3891
both,non_symmetric,1.0,1.0,binary,top50,8,40,24,0.786000,75.18,1.805319,19.653410,5.330485,39.300219,0.3844
both,non_symmetric,1.0,1.0,binary,top50,8,40,25,0.820000,74.94,1.802533,19.453297,5.351982,39.290446,0.3734
both,non_symmetric,1.0,1.0,binary,top50,8,40,26,0.780000,75.08,1.803297,19.359007,5.338469,39.195520,0.3844
both,non_symmetric,1.0,1.0,binary,top50,8,40,27,0.744000,75.08,1.802117,19.401376,5.300326,39.189945,0.3797
both,non_symmetric,1.0,1.0,binary,top50,8,40,28,0.728000,75.46,1.806096,19.392593,5.282111,39.078788,0.3734
both,non_symmetric,1.0,1.0,binary,top50,8,40,29,0.732000,75.53,1.816861,19.461805,5.252275,39.314856,0.3578
both,non_symmetric,1.0,1.0,binary,top50,8,40,30,0.742000,75.46,1.815036,19.530170,5.222318,39.401995,0.3516
both,non_symmetric,1.0,1.0,binary,top50,8,40,31,0.740000,75.32,1.802929,19.469639,5.245344,39.442686,0.3688
both,non_symmetric,1.0,1.0,binary,top50,8,40,32,0.732000,75.39,1.806109,19.421104,5.240496,39.395900,0.3688
both,non_symmetric,1.0,1.0,binary,top50,8,40,33,0.744000,74.98,1.806265,19.473314,5.220951,39.338982,0.3797
both,non_symmetric,1.0,1.0,binary,top50,8,40,34,0.746000,75.35,1.812710,19.512727,5.240357,39.282732,0.3641
both,non_symmetric,1.0,1.0,binary,top50,8,40,35,0.740000,75.24,1.809255,19.423334,5.246392,39.324592,0.3750
both,non_symmetric,1.0,1.0,binary,top50,8,40,36,0.726000,75.49,1.811984,19.566440,5.260914,39.468810,0.3672
both,non_symmetric,1.0,1.0,binary,top50,8,40,37,0.726000,75.23,1.804230,19.559680,5.263186,39.349939,0.3844
both,non_symmetric,1.0,1.0,binary,top50,8,40,38,0.728000,75.18,1.813573,19.434629,5.253900,39.283059,0.3937
both,non_symmetric,1.0,1.0,binary,top50,8,40,39,0.712000,75.08,1.815334,19.481928,5.290029,39.341002,0.3781
both,non_symmetric,1.0,1.0,binary,top50,8,40,40,0.706000,75.23,1.824317,19.450540,5.257842,39.208926,0.3719
both,non_symmetric,1.0,1.0,binary,top50,8,40,41,0.706000,75.16,1.819672,19.447339,5.264024,39.148046,0.3953
both,non_symmetric,1.0,1.0,binary,top50,8,40,42,0.712000,75.55,1.816576,19.424255,5.254078,39.163453,0.3781
both,non_symmetric,1.0,1.0,binary,top50,8,40,43,0.688000,75.92,1.818211,19.546081,5.225795,39.389025,0.3891
both,non_symmetric,1.0,1.0,binary,top50,8,40,44,0.676000,75.97,1.814610,19.595100,5.210888,39.477809,0.3953
both,non_symmetric,1.0,1.0,binary,top50,8,40,45,0.678000,75.75,1.819722,19.537708,5.247010,39.350560,0.3891
both,non_symmetric,1.0,1.0,binary,top50,8,40,46,0.664000,75.91,1.816456,19.547125,5.232136,39.385689,0.3844
both,non_symmetric,1.0,1.0,binary,top50,8,40,47,0.656000,75.71,1.827129,19.614454,5.227853,39.443852,0.3812
both,non_symmetric,1.0,1.0,binary,top50,8,40,48,0.686000,75.08,1.824503,19.558238,5.248878,39.289615,0.3781
both,non_symmetric,1.0,1.0,binary,top50,8,40,49,0.692000,75.72,1.823057,19.540307,5.234068,39.262295,0.3891
both,non_symmetric,1.0,1.0,binary,top50,8,40,50,0.696000,75.78,1.833340,19.462294,5.224712,39.285676,0.3859
both,non_symmetric,1.0,1.0,binary,top50,8,40,51,0.664000,75.61,1.807495,19.589165,5.228381,39.467335,0.3781
both,non_symmetric,1.0,1.0,binary,top50,8,40,52,0.676000,75.59,1.812843,19.574951,5.224905,39.502903,0.3859
both,non_symmetric,1.0,1.0,binary,top50,8,40,53,0.660000,75.76,1.812382,19.625385,5.232530,39.514368,0.3797
both,non_symmetric,1.0,1.0,binary,top50,8,40,54,0.680000,75.62,1.803476,19.597421,5.209198,39.578739,0.3781
both,non_symmetric,1.0,1.0,binary,top50,8,40,55,0.686000,75.50,1.802806,19.609497,5.217323,39.562321,0.3797
both,non_symmetric,1.0,1.0,binary,top50,8,40,56,0.674000,75.63,1.808245,19.571561,5.252960,39.593932,0.3828
both,non_symmetric,1.0,1.0,binary,top50,8,40,57,0.690000,75.54,1.803949,19.507962,5.251099,39.515065,0.3859
both,non_symmetric,1.0,1.0,binary,top50,8,40,58,0.668000,75.72,1.793242,19.554235,5.215040,39.653841,0.3891
both,non_symmetric,1.0,1.0,binary,top50,8,40,59,0.674000,75.97,1.796959,19.510644,5.225420,39.624921,0.3859
both,non_symmetric,1.0,1.0,binary,top50,8,40,60,0.672000,76.06,1.802280,19.506885,5.197367,39.670147,0.3828
both,non_symmetric,1.0,1.0,margin,top50,1,5,1,1.781211,50.54,1.435367,18.660208,12.885247,37.269272,0.0406
both,non_symmetric,1.0,1.0,margin,top50,1,5,2,1.132909,51.05,1.472982,18.330513,12.480849,36.210585,0.5625
both,non_symmetric,1.0,1.0,margin,top50,1,5,3,0.965656,52.89,1.499356,18.968760,11.838478,36.643699,0.4328
both,non_symmetric,1.0,1.0,margin,top50,1,5,4,0.847043,52.55,1.505743,19.816513,11.236102,36.828063,0.4141
both,non_symmetric,1.0,1.0,margin,top50,1,5,5,0.741039,53.54,1.524390,19.463742,11.085700,36.931322,0.4234
both,non_symmetric,1.0,1.0,margin,top50,2,10,1,3.419213,50.54,1.435367,18.660208,12.885247,37.269272,0.0406
both,non_symmetric,1.0,1.0,margin,top50,2,10,2,2.467439,52.99,1.400605,18.324316,12.560926,36.619285,0.5594
both,non_symmetric,1.0,1.0,margin,top50,2,10,3,2.109499,53.32,1.444477,18.802161,11.643468,37.179353,0.4281
both,non_symmetric,1.0,1.0,margin,top50,2,10,4,1.780276,56.26,1.472868,18.785388,10.747833,37.526504,0.4000
both,non_symmetric,1.0,1.0,margin,top50,2,10,5,1.510197,56.96,1.508191,19.455196,10.387569,37.894640,0.3719
both,non_symmetric,1.0,1.0,margin,top50,2,10,6,1.466732,58.38,1.525853,19.999470,9.925050,37.893312,0.3750
both,non_symmetric,1.0,1.0,margin,top50,2,10,7,1.245279,58.82,1.541349,20.027651,9.676607,38.218595,0.3625
both,non_symmetric,1.0,1.0,margin,top50,2,10,8,1.085934,59.15,1.545874,20.256987,9.486224,38.533802,0.3375
both,non_symmetric,1.0,1.0,margin,top50,2,10,9,1.123164,59.81,1.562803,20.218084,9.225137,38.565591,0.3625
both,non_symmetric,1.0,1.0,margin,top50,2,10,10,0.754336,60.73,1.540177,19.834535,9.324846,38.608021,0.3453
both,non_symmetric,1.0,1.0,margin,top50,2,10,11,0.671305,61.38,1.543045,19.665223,9.345379,38.453911,0.3516
both,non_symmetric,1.0,1.0,margin,top50,2,10,12,0.602748,61.56,1.532953,19.666071,9.284261,38.591879,0.3422
both,non_symmetric,1.0,1.0,margin,top50,2,10,13,0.577080,61.46,1.523182,19.590051,9.274209,38.537728,0.3391
both,non_symmetric,1.0,1.0,margin,top50,4,20,1,7.011572,50.54,1.435367,18.660208,12.885247,37.269272,0.0484
both,non_symmetric,1.0,1.0,margin,top50,4,20,2,5.520191,52.02,1.403838,18.200086,12.559236,36.272326,0.6312
both,non_symmetric,1.0,1.0,margin,top50,4,20,3,4.756712,56.06,1.460092,17.830005,11.571450,36.659926,0.5016
both,non_symmetric,1.0,1.0,margin,top50,4,20,4,4.278231,56.74,1.481660,17.797318,10.577289,36.936223,0.4672
both,non_symmetric,1.0,1.0,margin,top50,4,20,5,4.070263,56.23,1.523151,17.715216,10.015910,37.384885,0.4313
both,non_symmetric,1.0,1.0,margin,top50,4,20,6,3.446752,57.37,1.552625,18.336188,9.451491,37.805516,0.4234
both,non_symmetric,1.0,1.0,margin,top50,4,20,7,2.481463,60.76,1.646215,18.307880,8.995261,37.992109,0.4531
both,non_symmetric,1.0,1.0,margin,top50,4,20,8,2.239541,62.14,1.648282,17.976038,8.467215,37.634977,0.4016
both,non_symmetric,1.0,1.0,margin,top50,4,20,9,2.159367,61.09,1.697488,18.332720,8.143874,38.151952,0.4234
both,non_symmetric,1.0,1.0,margin,top50,4,20,10,1.829007,62.39,1.668402,18.387961,7.909071,38.182311,0.4094
both,non_symmetric,1.0,1.0,margin,top50,4,20,11,1.566327,63.10,1.629018,18.041856,7.709131,38.353643,0.4359
both,non_symmetric,1.0,1.0,margin,top50,4,20,12,1.449410,62.54,1.635957,18.042302,7.652817,38.457295,0.4391
both,non_symmetric,1.0,1.0,margin,top50,4,20,13,1.221206,64.43,1.636535,17.845989,7.642727,38.729615,0.4328
both,non_symmetric,1.0,1.0,margin,top50,4,20,14,1.170160,63.85,1.632645,17.557101,7.451690,38.670788,0.4188
both,non_symmetric,1.0,1.0,margin,top50,4,20,15,1.186965,63.45,1.628005,17.451654,7.351836,38.838720,0.4141
both,non_symmetric,1.0,1.0,margin,top50,4,20,16,1.058845,64.95,1.611500,17.493440,7.333985,38.679018,0.4234
both,non_symmetric,1.0,1.0,margin,top50,4,20,17,0.952044,64.79,1.618936,17.657421,7.171505,38.859301,0.4125
both,non_symmetric,1.0,1.0,margin,top50,4,20,18,0.914509,65.50,1.618033,17.824167,7.056593,38.972729,0.4188
both,non_symmetric,1.0,1.0,margin,top50,4,20,19,0.853404,66.16,1.593446,17.885787,7.033868,39.044574,0.4234
both,non_symmetric,1.0,1.0,margin,top50,4,20,20,0.878238,65.74,1.596591,18.205397,6.926734,39.413137,0.4266
