mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,generation,mean_fitness,mean_accuracy,mean_error_chance,mean_error_utility,mean_entropy_norm,mean_util_dev,mean_gen_cpu
both,non_symmetric,1.0,1.0,binary,top50,8,40,12,1.168000,70.66,1.368173,14.762636,13.910495,29.943252,0.0359
both,non_symmetric,1.0,1.0,binary,top50,8,40,13,1.146000,70.99,1.386269,14.413796,13.868262,30.371901,0.0375
both,non_symmetric,1.0,1.0,binary,top50,8,40,14,1.038000,71.87,1.423971,14.299855,13.535315,30.222334,0.0391
both,non_symmetric,1.0,1.0,binary,top50,8,40,15,0.954000,73.19,1.428353,14.190959,13.402213,30.242368,0.0375
both,non_symmetric,1.0,1.0,binary,top50,8,40,16,0.954000,73.67,1.430846,14.183342,13.351188,30.415905,0.0422
both,non_symmetric,1.0,1.0,binary,top50,8,40,17,0.970000,73.94,1.420300,14.254953,13.225195,30.638924,0.0391
both,non_symmetric,1.0,1.0,binary,top50,8,40,18,0.894000,74.54,1.423063,14.219764,13.076907,30.499013,0.0375
both,non_symmetric,1.0,1.0,binary,top50,8,40,19,0.852000,75.16,1.406815,14.305232,13.091303,30.582852,0.0391
both,non_symmetric,1.0,1.0,binary,top50,8,40,20,0.878000,75.30,1.402256,14.277045,13.078756,30.861175,0.0406
both,non_symmetric,1.0,1.0,binary,top50,8,40,21,0.878000,75.14,1.385914,14.472777,13.005214,30.629327,0.0391
both,non_symmetric,1.0,1.0,binary,top50,8,40,22,0.872000,75.63,1.371948,14.472499,12.984817,30.797315,0.0391
both,non_symmetric,1.0,1.0,binary,top50,8,40,23,0.824000,76.01,1.381589,14.567317,12.966105,30.901710,0.0406
both,non_symmetric,1.0,1.0,binary,top50,8,40,24,0.844000,75.37,1.385685,14.416745,13.012504,30.872675,0.0406
both,non_symmetric,1.0,1.0,binary,top50,8,40,25,0.812000,76.00,1.387781,14.684771,13.030051,31.074212,0.0406
both,non_symmetric,1.0,1.0,binary,top50,8,40,26,0.762000,76.20,1.389852,14.672541,13.023622,31.186431,0.0391
both,non_symmetric,1.0,1.0,binary,top50,8,40,27,0.746000,76.34,1.382114,14.784589,12.994624,31.289469,0.0375
both,non_symmetric,1.0,1.0,binary,top50,8,40,28,0.686000,76.64,1.377986,14.858650,12.953026,31.122838,0.0391
both,non_symmetric,1.0,1.0,binary,top50,8,40,29,0.632000,77.25,1.376733,14.980577,12.948914,31.232435,0.0406
both,non_symmetric,1.0,1.0,binary,top50,8,40,30,0.676000,76.93,1.380310,14.904211,12.905965,31.198898,0.0391
both,non_symmetric,1.0,1.0,binary,top50,8,40,31,0.662000,76.95,1.367589,14.957969,12.928956,31.304184,0.0406
both,non_symmetric,1.0,1.0,binary,top50,8,40,32,0.628000,77.34,1.364779,14.893608,12.930983,31.325770,0.0391
both,non_symmetric,1.0,1.0,margin,top50,1,5,1,1.781211,50.54,1.435367,18.660208,12.885247,37.269272,0.0406
both,non_symmetric,1.0,1.0,margin,top50,1,5,2,1.061369,50.47,1.296705,16.218364,15.945312,32.468050,0.0406
both,non_symmetric,1.0,1.0,margin,top50,1,5,3,0.746458,52.33,1.267030,15.363307,16.275609,30.721886,0.0422
both,non_symmetric,1.0,1.0,margin,top50,1,5,4,0.686521,52.89,1.292065,14.946680,16.120176,30.798285,0.0453
both,non_symmetric,1.0,1.0,margin,top50,1,5,5,0.579907,53.02,1.315551,14.900988,16.122334,30.921341,0.0406
both,non_symmetric,1.0,1.0,margin,top50,2,10,1,3.419213,50.54,1.435367,18.660208,12.885247,37.269272,0.0344
both,non_symmetric,1.0,1.0,margin,top50,2,10,2,2.159224,52.79,1.300449,16.018611,15.752054,32.351299,0.0469
both,non_symmetric,1.0,1.0,margin,top50,2,10,3,1.716671,54.94,1.268716,15.019430,15.996302,30.476776,0.0406
both,non_symmetric,1.0,1.0,margin,top50,2,10,4,1.323585,54.93,1.250681,14.315149,16.341668,30.014437,0.0391
both,non_symmetric,1.0,1.0,margin,top50,2,10,5,1.032929,55.99,1.236956,14.114723,16.183699,30.333069,0.0437
both,non_symmetric,1.0,1.0,margin,top50,2,10,6,0.850827,57.85,1.206210,13.480920,16.158171,30.246851,0.0406
both,non_symmetric,1.0,1.0,margin,top50,2,10,7,0.864353,58.25,1.225159,13.387545,16.050773,30.359664,0.0437
both,non_symmetric,1.0,1.0,margin,top50,2,10,8,0.763815,58.13,1.233054,13.303164,15.920411,30.204731,0.0437
both,non_symmetric,1.0,1.0,margin,top50,2,10,9,0.800173,58.15,1.230162,13.401973,15.870022,30.664479,0.0422
both,non_symmetric,1.0,1.0,margin,top50,2,10,10,0.768974,58.53,1.217926,13.345878,15.848307,30.705882,0.0422
both,non_symmetric,1.0,1.0,margin,top50,2,10,11,0.684049,58.69,1.214288,13.074717,15.882129,30.610170,0.0437
both,non_symmetric,1.0,1.0,margin,top50,2,10,12,0.644647,58.92,1.220622,12.944203,15.922128,30.375288,0.0422
both,non_symmetric,1.0,1.0,margin,top50,4,20,1,7.011572,50.54,1.435367,18.660208,12.885247,37.269272,0.0406
both,non_symmetric,1.0,1.0,margin,top50,4,20,2,4.830724,52.40,1.256645,15.662159,15.905603,32.045375,0.0437
both,non_symmetric,1.0,1.0,margin,top50,4,20,3,3.998000,54.11,1.248960,15.010954,15.875897,31.026452,0.0375
both,non_symmetric,1.0,1.0,margin,top50,4,20,4,3.449923,54.49,1.274776,14.247813,15.742723,30.534434,0.0453
both,non_symmetric,1.0,1.0,margin,top50,4,20,5,3.014603,57.27,1.302035,13.643874,15.548310,29.603916,0.0406
both,non_symmetric,1.0,1.0,margin,top50,4,20,6,2.725243,56.92,1.313255,13.053658,15.403293,29.585342,0.0406
both,non_symmetric,1.0,1.0,margin,top50,4,20,7,2.259924,58.32,1.318047,12.352216,15.337707,29.287487,0.0406
both,non_symmetric,1.0,1.0,margin,top50,4,20,8,2.010136,58.63,1.299019,12.565743,14.983443,29.830609,0.0406
both,non_symmetric,1.0,1.0,margin,top50,4,20,9,1.586789,60.28,1.289027,12.851838,14.894175,30.137618,0.0406
both,non_symmetric,1.0,1.0,margin,top50,4,20,10,1.445235,60.87,1.307875,13.148365,14.788195,30.627453,0.0391
both,non_symmetric,1.0,1.0,margin,top50,4,20,11,1.158530,61.85,1.353334,13.222617,14.522770,30.501510,0.0375
both,non_symmetric,1.0,1.0,margin,top50,4,20,12,1.037718,62.91,1.373741,13.098080,14.574370,30.571443,0.0391
both,non_symmetric,1.0,1.0,margin,top50,4,20,13,0.810630,64.30,1.382657,13.155373,14.423595,30.828888,0.0359
both,non_symmetric,1.0,1.0,margin,top50,4,20,14,0.725983,65.01,1.398863,13.125986,14.290257,30.721729,0.0391
both,non_symmetric,1.0,1.0,margin,top50,4,20,15,0.730770,64.49,1.412506,13.155944,14.273950,30.632017,0.0375
both,non_symmetric,1.0,1.0,margin,top50,4,20,16,0.698372,64.49,1.420250,13.161732,14.227166,30.534950,0.0359
both,non_symmetric,1.0,1.0,margin,top50,4,20,17,0.688693,64.52,1.423394,13.263978,14.206082,30.531081,0.0375
both,non_symmetric,1.0,1.0,margin,top50,4,20,18,0.689629,64.99,1.422770,13.414908,14.208936,30.694703,0.0359
both,non_symmetric,1.0,1.0,margin,top50,4,20,19,0.618264,65.31,1.417555,13.463605,14.204474,30.747137,0.0359
both,non_symmetric,1.0,1.0,margin,top50,4,20,20,0.694081,64.95,1.411706,13.566480,14.185777,30.853048,0.0375
both,non_symmetric,1.0,1.0,margin,top50,4,20,21,0.666220,64.68,1.417915,13.407612,14.233602,30.707040,0.0375
both,non_symmetric,1.0,1.0,margin,top50,4,20,22,0.631858,65.01,1.416586,13.448523,14.170263,30.797319,0.0359
both,non_symmetric,1.0,1.0,margin,top50,4,20,23,0.648033,64.84,1.407277,13.603810,14.203291,30.901663,0.0375
both,non_symmetric,1.0,1.0,margin,top50,4,20,24,0.676737,65.13,1.415805,13.726758,14.150170,31.020599,0.0375
both,non_symmetric,1.0,1.0,margin,top50,8,40,1,13.849359,50.54,1.435367,18.660208,12.885247,37.269272,0.0406
both,non_symmetric,1.0,1.0,margin,top50,8,40,2,10.078241,53.36,1.284544,15.394784,15.836563,32.178398,0.0406
both,non_symmetric,1.0,1.0,margin,top50,8,40,3,9.173015,55.42,1.290075,14.837792,15.961385,30.723705,0.0406
both,non_symmetric,1.0,1.0,margin,top50,8,40,4,8.241316,57.87,1.321097,14.878969,15.473323,29.996990,0.0422
both,non_symmetric,1.0,1.0,margin,top50,8,40,5,7.589144,57.98,1.356453,13.709358,15.236336,30.217768,0.0406
both,non_symmetric,1.0,1.0,margin,top50,8,40,6,7.166140,59.84,1.325357,13.613544,15.013670,30.077383,0.0406
both,non_symmetric,1.0,1.0,margin,top50,8,40,7,6.224563,61.08,1.343576,12.857990,14.781037,29.837188,0.0453
both,non_symmetric,1.0,1.0,margin,top50,8,40,8,5.600013,64.00,1.292001,12.900363,14.712600,29.885191,0.0359
