mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,total_rules,rep,seed,stop_generation,best_fitness,best_accuracy,best_mse_chance,best_mse_utility,best_entropy_norm,best_util_dev,cpu_per_gen,cpu_total
both,non_symmetric,1.0,1.0,softmax,top50,2,10,20,6,48,13,0.904302,100.00,0.711260,6.803676,0.412628,44.444444,0.3317,4.3125
both,non_symmetric,1.0,1.0,softmax,top50,2,10,20,7,49,8,0.986422,95.00,0.566165,8.457206,0.427699,44.444444,0.3262,2.6094
both,non_symmetric,1.0,1.0,softmax,top50,2,10,20,8,50,11,0.759873,100.00,0.559618,8.558310,0.412628,44.444444,0.3295,3.6250
both,non_symmetric,1.0,1.0,softmax,top50,2,10,20,9,51,13,0.743203,100.00,0.613209,11.407099,0.412628,44.444444,0.3630,4.7188
both,non_symmetric,1.0,1.0,softmax,top50,4,20,20,0,42,15,1.014171,100.00,0.687057,11.693837,0.412628,44.444444,0.3365,5.0469
both,non_symmetric,1.0,1.0,softmax,top50,4,20,20,1,43,12,1.055611,100.00,0.534754,10.833622,0.412628,44.444444,0.3307,3.9688
both,non_symmetric,1.0,1.0,softmax,top50,4,20,20,2,44,17,1.643051,100.00,0.787556,10.976992,0.412628,44.444444,0.4476,7.6094
both,non_symmetric,1.0,1.0,softmax,top50,4,20,20,3,45,14,2.110799,100.00,0.976575,8.468031,0.412628,44.444444,0.5246,7.3438
both,non_symmetric,1.0,1.0,softmax,top50,4,20,20,4,46,15,1.067331,100.00,0.939621,8.468031,0.412628,44.444444,0.4542,6.8125
both,non_symmetric,1.0,1.0,softmax,top50,4,20,20,5,47,16,1.252159,100.00,0.773894,8.467997,0.412628,44.444444,0.4785,7.6562
both,non_symmetric,1.0,1.0,softmax,top50,4,20,20,6,48,16,1.373658,100.00,0.798397,8.468031,0.412628,44.444444,0.3359,5.3750
both,non_symmetric,1.0,1.0,softmax,top50,4,20,20,7,49,13,1.127171,100.00,0.527506,11.693837,0.412628,44.444444,0.3281,4.2656
both,non_symmetric,1.0,1.0,softmax,top50,4,20,20,8,50,14,1.315210,100.00,0.886778,11.693837,0.412628,44.444444,0.3382,4.7344
both,non_symmetric,1.0,1.0,softmax,top50,4,20,20,9,51,20,1.604128,100.00,0.918931,10.597190,0.412628,44.444444,0.3352,6.7031
both,non_symmetric,1.0,1.0,softmax,top50,8,40,20,0,42,18,1.447441,100.00,1.160488,14.059429,0.412628,44.444444,0.3498,6.2969
both,non_symmetric,1.0,1.0,softmax,top50,8,40,20,1,43,19,1.392974,100.00,1.036688,8.468031,0.412628,44.444444,0.3429,6.5156
both,non_symmetric,1.0,1.0,softmax,top50,8,40,20,2,44,15,5.613358,95.00,0.914688,10.833622,0.412628,44.444444,0.3406,5.1094
both,non_symmetric,1.0,1.0,softmax,top50,8,40,20,3,45,20,1.968595,100.00,1.010222,14.202798,0.412628,44.444444,0.3469,6.9375
both,non_symmetric,1.0,1.0,softmax,top50,8,40,20,4,46,19,1.284423,100.00,1.008078,11.407099,0.412628,44.444444,0.3446,6.5469
both,non_symmetric,1.0,1.0,softmax,top50,8,40,20,5,47,20,2.852170,100.00,0.855264,11.407099,0.412628,44.444444,0.3367,6.7344
