mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,total_rules,rep,seed,stop_generation,best_fitness,best_accuracy,best_mse_chance,best_mse_utility,best_entropy_norm,best_util_dev,cpu_per_gen,cpu_total
both,symmetric,1.0,1.0,softmax,top50,1,5,20,1,43,9,0.238728,85.00,0.930188,12.006372,4.645407,44.363644,0.4340,3.9062
both,symmetric,1.0,1.0,softmax,top50,1,5,20,2,44,6,0.436839,90.00,0.528443,8.237317,3.583122,44.440979,0.4062,2.4375
both,symmetric,1.0,1.0,softmax,top50,1,5,20,3,45,5,0.456855,90.00,1.158163,8.456128,3.107783,44.444284,0.4375,2.1875
both,symmetric,1.0,1.0,softmax,top50,1,5,20,4,46,5,0.413998,95.00,0.723390,12.334847,5.320347,44.444113,0.4125,2.0625
both,symmetric,1.0,1.0,softmax,top50,1,5,20,5,47,8,0.445855,85.00,0.851311,12.356003,2.605044,44.441481,0.4648,3.7188
both,symmetric,1.0,1.0,softmax,top50,1,5,20,6,48,7,1.015587,85.00,0.712364,4.917396,1.726680,44.439551,0.5446,3.8125
both,symmetric,1.0,1.0,softmax,top50,1,5,20,7,49,7,0.376063,95.00,0.913702,12.248366,2.238499,44.333988,0.6049,4.2344
both,symmetric,1.0,1.0,softmax,top50,1,5,20,8,50,8,0.298862,95.00,0.936275,12.506092,2.247418,44.440058,0.5898,4.7188
both,symmetric,1.0,1.0,softmax,top50,1,5,20,9,51,6,0.199104,70.00,1.047700,10.677794,2.916881,44.393413,0.5651,3.3906
both,symmetric,1.0,1.0,softmax,top50,2,10,20,0,42,11,0.450105,85.00,0.870459,12.661841,2.477384,44.444412,0.6065,6.6719
both,symmetric,1.0,1.0,softmax,top50,2,10,20,1,43,7,0.362401,95.00,0.796630,12.652648,3.687949,44.388229,0.6138,4.2969
both,symmetric,1.0,1.0,softmax,top50,2,10,20,2,44,11,0.813268,80.00,0.933343,9.809676,0.796464,44.066370,0.6435,7.0781
both,symmetric,1.0,1.0,softmax,top50,2,10,20,3,45,7,0.456699,85.00,0.862785,4.483849,3.383571,44.443953,0.5603,3.9219
both,symmetric,1.0,1.0,softmax,top50,2,10,20,4,46,14,0.461729,75.00,0.734151,8.685042,2.494250,44.225495,0.5022,7.0312
both,symmetric,1.0,1.0,softmax,top50,2,10,20,5,47,10,0.380735,90.00,0.443712,5.571487,3.385959,44.427744,0.4594,4.5938
both,symmetric,1.0,1.0,softmax,top50,2,10,20,6,48,14,0.485400,85.00,1.966239,10.898823,1.746422,44.444444,0.4286,6.0000
both,symmetric,1.0,1.0,softmax,top50,2,10,20,7,49,6,0.849881,95.00,0.896169,9.544672,4.460727,43.515832,0.4036,2.4219
both,symmetric,1.0,1.0,softmax,top50,2,10,20,8,50,13,0.111437,85.00,1.318343,15.269221,1.681377,44.442863,0.4243,5.5156
both,symmetric,1.0,1.0,softmax,top50,2,10,20,9,51,9,0.728619,80.00,1.558530,12.640750,3.340260,44.430249,0.4358,3.9219
both,symmetric,1.0,1.0,softmax,top50,4,20,20,0,42,23,0.772807,95.00,1.125841,17.203968,1.298175,44.444444,0.4463,10.2656
both,symmetric,1.0,1.0,softmax,top50,4,20,20,1,43,14,0.407493,75.00,0.886196,18.104739,1.312163,44.426037,0.4810,6.7344
both,symmetric,1.0,1.0,softmax,top50,4,20,20,2,44,18,1.159291,95.00,0.724525,10.219070,1.932008,44.444436,0.4583,8.2500
both,symmetric,1.0,1.0,softmax,top50,4,20,20,3,45,26,0.639514,80.00,1.638477,11.921476,0.904550,44.438939,0.4363,11.3438
both,symmetric,1.0,1.0,softmax,top50,4,20,20,4,46,16,0.286061,85.00,1.270718,10.625981,2.573973,44.398238,0.4385,7.0156
both,symmetric,1.0,1.0,softmax,top50,4,20,20,5,47,16,0.190653,75.00,1.175819,13.603159,1.022809,44.201455,0.4414,7.0625
both,symmetric,1.0,1.0,softmax,top50,4,20,20,6,48,25,0.156381,95.00,1.764780,21.472812,2.951892,44.444405,0.4662,11.6562
both,symmetric,1.0,1.0,softmax,top50,4,20,20,7,49,12,0.284418,75.00,0.586998,12.049816,3.186497,44.136373,0.4466,5.3594
both,symmetric,1.0,1.0,softmax,top50,4,20,20,8,50,11,0.556183,70.00,0.771359,12.362828,3.598620,44.443466,0.4318,4.7500
both,symmetric,1.0,1.0,softmax,top50,4,20,20,9,51,14,0.387289,85.00,1.767852,13.704707,2.646245,44.444216,0.5993,8.3906
both,symmetric,1.0,1.0,softmax,top50,8,40,20,0,42,32,0.412473,95.00,1.872469,22.285699,1.377034,44.444444,0.6377,20.4062
both,symmetric,1.0,1.0,softmax,top50,8,40,20,1,43,22,1.517422,95.00,1.210778,20.581305,2.027944,44.437722,0.6669,14.6719
both,symmetric,1.0,1.0,softmax,top50,8,40,20,2,44,29,0.204912,95.00,1.782556,19.433624,2.357693,44.444444,0.6099,17.6875
both,symmetric,1.0,1.0,softmax,top50,8,40,20,3,45,19,0.148346,85.00,1.701399,22.161133,5.315244,44.438574,0.5033,9.5625
both,symmetric,1.0,1.0,softmax,top50,8,40,20,4,46,17,5.553189,95.00,0.823233,7.493868,1.253186,43.942628,0.4485,7.6250
both,symmetric,1.0,1.0,softmax,top50,8,40,20,5,47,22,0.235762,95.00,1.261362,24.245657,2.179421,44.444206,0.4233,9.3125
both,symmetric,1.0,1.0,softmax,top50,8,40,20,6,48,13,5.397114,95.00,0.811794,8.227147,1.378073,44.422040,0.4339,5.6406
both,symmetric,1.0,1.0,softmax,top50,8,40,20,7,49,15,3.214490,85.00,1.289417,8.503221,2.317141,44.436365,0.4521,6.7812
both,symmetric,1.0,1.0,softmax,top50,8,40,20,8,50,15,3.613911,90.00,1.256761,23.516507,0.824871,44.220509,0.6396,9.5938
both,symmetric,1.0,1.0,softmax,top50,8,40,20,9,51,42,0.725149,65.00,1.142523,15.859917,5.659279,44.339516,0.4762,20.0000
both,symmetric,1.0,1.0,regret,top50,1,5,20,0,42,1,1.270247,85.00,0.583406,6.150920,10.575905,44.078699,0.0469,0.0469
both,symmetric,1.0,1.0,regret,top50,1,5,20,1,43,1,0.857726,85.00,0.677142,6.110768,9.209246,44.272709,0.0469,0.0469
both,symmetric,1.0,1.0,regret,top50,1,5,20,2,44,1,0.883310,80.00,0.602174,5.635433,10.416201,44.322257,0.0312,0.0312
both,symmetric,1.0,1.0,regret,top50,1,5,20,3,45,1,1.076873,75.00,0.602671,6.751976,10.568043,44.299241,0.0469,0.0469
both,symmetric,1.0,1.0,regret,top50,1,5,20,4,46,2,0.617663,80.00,0.735843,5.951173,8.985568,44.102379,0.2734,0.5469
both,symmetric,1.0,1.0,regret,top50,1,5,20,5,47,2,0.777744,80.00,0.590074,11.134731,8.815152,43.740327,0.3359,0.6719
both,symmetric,1.0,1.0,regret,top50,1,5,20,6,48,2,0.765986,85.00,0.697702,5.189960,8.848241,43.198625,0.3438,0.6875
both,symmetric,1.0,1.0,regret,top50,1,5,20,7,49,1,0.476529,75.00,0.470047,4.539802,10.379995,44.373466,0.0469,0.0469
both,symmetric,1.0,1.0,regret,top50,1,5,20,8,50,2,0.437582,80.00,0.750849,6.212336,8.746402,43.737828,0.3203,0.6406
both,symmetric,1.0,1.0,regret,top50,1,5,20,9,51,2,0.817610,75.00,0.685439,8.833503,7.695847,44.187324,0.3438,0.6875
both,symmetric,1.0,1.0,regret,top50,2,10,20,0,42,3,0.436776,85.00,0.631429,7.648016,6.031171,44.400778,0.4271,1.2812
both,symmetric,1.0,1.0,regret,top50,2,10,20,1,43,1,1.751076,85.00,0.677142,6.110768,9.209246,44.272709,0.0469,0.0469
both,symmetric,1.0,1.0,regret,top50,2,10,20,2,44,8,0.700778,80.00,1.305518,9.498615,2.200779,44.439395,0.4141,3.3125
both,symmetric,1.0,1.0,regret,top50,2,10,20,3,45,5,1.163012,85.00,0.821655,8.385070,2.438597,44.442668,0.4156,2.0781
both,symmetric,1.0,1.0,regret,top50,2,10,20,4,46,3,0.595721,95.00,0.836607,8.065607,5.652892,44.427687,0.3646,1.0938
both,symmetric,1.0,1.0,regret,top50,2,10,20,5,47,7,0.924457,90.00,0.453946,5.838752,4.079906,44.435829,0.4598,3.2188
both,symmetric,1.0,1.0,regret,top50,2,10,20,6,48,5,0.300317,85.00,0.590928,8.220530,3.371986,44.404822,0.4156,2.0781
both,symmetric,1.0,1.0,regret,top50,2,10,20,7,49,3,0.870735,75.00,0.682712,7.761997,6.941726,44.411854,0.3594,1.0781
both,symmetric,1.0,1.0,regret,top50,2,10,20,8,50,5,1.241861,90.00,0.959604,7.228664,3.508253,43.955356,0.4250,2.1250
both,symmetric,1.0,1.0,regret,top50,2,10,20,9,51,6,0.579880,85.00,0.849170,10.156576,3.603513,44.306617,0.4375,2.6250
both,symmetric,1.0,1.0,regret,top50,4,20,20,0,42,6,0.699599,85.00,0.636131,9.851017,4.258280,44.417590,0.4401,2.6406
both,symmetric,1.0,1.0,regret,top50,4,20,20,1,43,9,1.279406,95.00,0.907833,7.033361,1.554142,44.431454,0.4149,3.7344
both,symmetric,1.0,1.0,regret,top50,4,20,20,2,44,6,1.257863,75.00,0.862821,4.737301,3.184090,44.321772,0.4245,2.5469
both,symmetric,1.0,1.0,regret,top50,4,20,20,3,45,6,1.589942,95.00,0.923504,5.736148,3.119212,44.430279,0.4245,2.5469
both,symmetric,1.0,1.0,regret,top50,4,20,20,4,46,9,1.003521,95.00,1.005977,10.612396,1.970035,44.443212,0.4410,3.9688
both,symmetric,1.0,1.0,regret,top50,4,20,20,5,47,12,1.020877,95.00,1.087604,8.401305,1.880918,44.397983,0.4232,5.0781
both,symmetric,1.0,1.0,regret,top50,4,20,20,6,48,12,0.123069,100.00,1.305634,22.096905,2.019676,44.206006,0.4518,5.4219
both,symmetric,1.0,1.0,regret,top50,4,20,20,7,49,5,0.984524,85.00,0.843951,9.922591,3.524137,44.425144,0.3906,1.9531
both,symmetric,1.0,1.0,regret,top50,4,20,20,8,50,11,1.443411,95.00,0.879339,6.913585,0.980942,44.444339,0.4616,5.0781
both,symmetric,1.0,1.0,regret,top50,4,20,20,9,51,8,1.389075,75.00,0.754820,11.215538,3.160098,44.444443,0.4414,3.5312
both,symmetric,1.0,1.0,regret,top50,8,40,20,0,42,16,0.558504,100.00,0.878268,6.846727,0.729444,44.443210,0.6221,9.9531
both,symmetric,1.0,1.0,regret,top50,8,40,20,1,43,11,1.420111,95.00,1.003184,10.444002,2.234203,44.444045,0.6207,6.8281
both,symmetric,1.0,1.0,regret,top50,8,40,20,2,44,15,0.258520,95.00,1.958195,18.583916,3.599979,44.353699,0.6104,9.1562
both,symmetric,1.0,1.0,regret,top50,8,40,20,3,45,18,0.373208,100.00,0.967304,15.821388,2.281353,44.444441,0.6250,11.2500
both,symmetric,1.0,1.0,regret,top50,8,40,20,4,46,12,2.219242,95.00,1.077381,10.429959,0.644780,44.444444,0.4219,5.0625
both,symmetric,1.0,1.0,regret,top50,8,40,20,5,47,12,1.104987,95.00,1.537801,10.052791,1.277441,44.444444,0.4076,4.8906
both,symmetric,1.0,1.0,regret,top50,8,40,20,6,48,16,0.000024,90.00,0.921667,26.327749,0.530713,44.444444,0.4365,6.9844
both,symmetric,1.0,1.0,regret,top50,8,40,20,7,49,18,0.363281,100.00,1.203044,13.129477,0.451095,43.609495,0.4358,7.8438
both,symmetric,1.0,1.0,regret,top50,8,40,20,8,50,18,0.002318,80.00,1.055010,12.484767,3.492164,44.442835,0.4314,7.7656
both,symmetric,1.0,1.0,regret,top50,8,40,20,9,51,33,0.000051,90.00,2.658690,30.121628,0.620259,31.247701,0.4313,14.2344
both,symmetric,1.0,1.0,entropy,top50,1,5,20,0,42,5,0.381137,85.00,1.100575,9.091199,3.545110,44.374273,0.4094,2.0469
both,symmetric,1.0,1.0,entropy,top50,1,5,20,1,43,8,0.043998,90.00,0.694851,8.397188,5.985185,44.094461,0.4609,3.6875
both,symmetric,1.0,1.0,entropy,top50,1,5,20,2,44,5,0.586968,95.00,0.855027,7.320564,2.480289,43.569531,0.4500,2.2500
both,symmetric,1.0,1.0,entropy,top50,1,5,20,3,45,4,0.341741,90.00,0.919050,8.436549,4.462410,44.204600,0.5625,2.2500
both,symmetric,1.0,1.0,entropy,top50,1,5,20,4,46,7,0.412571,75.00,1.067038,11.139648,2.440224,44.425991,0.5938,4.1562
both,symmetric,1.0,1.0,entropy,top50,1,5,20,5,47,8,0.872231,85.00,0.859027,10.189218,2.734219,44.443440,0.5938,4.7500
both,symmetric,1.0,1.0,entropy,top50,1,5,20,6,48,8,0.640432,75.00,0.935831,5.894568,3.054428,44.441988,0.5840,4.6719
both,symmetric,1.0,1.0,entropy,top50,1,5,20,7,49,4,0.335900,90.00,0.659061,11.850047,7.417862,44.248119,0.4727,1.8906
both,symmetric,1.0,1.0,entropy,top50,1,5,20,8,50,7,0.195700,80.00,1.023221,5.739138,4.735593,43.601734,0.5781,4.0469
both,symmetric,1.0,1.0,entropy,top50,1,5,20,9,51,6,0.310745,85.00,0.891932,5.857749,4.760762,44.428528,0.4896,2.9375
both,symmetric,1.0,1.0,entropy,top50,2,10,20,0,42,8,0.203040,100.00,0.768737,7.253266,4.317570,44.442505,0.5430,4.3438
both,symmetric,1.0,1.0,entropy,top50,2,10,20,1,43,5,0.641856,85.00,0.856112,6.707949,4.055526,44.404736,0.5125,2.5625
both,symmetric,1.0,1.0,entropy,top50,2,10,20,2,44,10,0.346709,85.00,0.428011,13.864866,2.965194,44.435129,0.5672,5.6719
both,symmetric,1.0,1.0,entropy,top50,2,10,20,3,45,7,0.524806,95.00,0.624494,7.164674,3.671526,44.442790,0.6964,4.8750
both,symmetric,1.0,1.0,entropy,top50,2,10,20,4,46,15,0.266606,90.00,0.885311,9.138506,2.777336,44.444059,0.6188,9.2812
both,symmetric,1.0,1.0,entropy,top50,2,10,20,5,47,9,0.132775,80.00,0.753863,12.126617,1.676727,44.444444,0.5903,5.3125
both,symmetric,1.0,1.0,entropy,top50,2,10,20,6,48,22,0.577920,85.00,0.906872,14.179242,0.424451,44.444444,0.6115,13.4531
both,symmetric,1.0,1.0,entropy,top50,2,10,20,7,49,8,0.331075,80.00,0.613761,8.579255,5.535343,44.217857,0.5449,4.3594
both,symmetric,1.0,1.0,entropy,top50,2,10,20,8,50,10,0.869860,75.00,0.713233,14.533456,1.242851,44.393274,0.6656,6.6562
both,symmetric,1.0,1.0,entropy,top50,2,10,20,9,51,13,0.434111,85.00,1.380795,8.444233,3.128026,44.424067,0.4519,5.8750
both,symmetric,1.0,1.0,entropy,top50,4,20,20,0,42,20,0.764669,80.00,1.612316,19.051093,0.577682,42.197498,0.4336,8.6719
both,symmetric,1.0,1.0,entropy,top50,4,20,20,1,43,8,0.623993,95.00,0.897973,9.182800,6.118404,44.429171,0.4180,3.3438
both,symmetric,1.0,1.0,entropy,top50,4,20,20,2,44,21,0.579583,95.00,1.669790,11.693837,0.431661,44.444444,0.4382,9.2031
both,symmetric,1.0,1.0,entropy,top50,4,20,20,3,45,16,0.542036,85.00,0.907993,14.087392,1.742079,44.444381,0.4512,7.2188
both,symmetric,1.0,1.0,entropy,top50,4,20,20,4,46,24,0.631746,95.00,1.138353,22.482097,0.815183,44.444444,0.4427,10.6250
both,symmetric,1.0,1.0,entropy,top50,4,20,20,5,47,17,1.424541,90.00,1.604815,23.378136,0.644363,40.000000,0.4421,7.5156
both,symmetric,1.0,1.0,entropy,top50,4,20,20,6,48,20,0.381564,80.00,0.961057,12.056451,4.539403,43.688318,0.4477,8.9531
both,symmetric,1.0,1.0,entropy,top50,4,20,20,7,49,8,0.639473,95.00,0.710944,16.131355,1.713099,44.444125,0.4258,3.4062
both,symmetric,1.0,1.0,entropy,top50,4,20,20,8,50,11,0.459757,95.00,1.270417,15.164778,5.608823,44.442927,0.4290,4.7188
both,symmetric,1.0,1.0,entropy,top50,4,20,20,9,51,13,0.444724,95.00,0.699309,9.266234,3.298801,44.391081,0.4255,5.5312
both,symmetric,1.0,1.0,entropy,top50,8,40,20,0,42,43,0.321787,100.00,2.041669,27.135714,1.271909,43.903853,0.4346,18.6875
both,symmetric,1.0,1.0,entropy,top50,8,40,20,1,43,15,1.587993,95.00,1.091638,19.153092,1.447195,44.442033,0.4969,7.4531
both,symmetric,1.0,1.0,entropy,top50,8,40,20,2,44,30,1.337873,85.00,0.988216,11.937357,3.546598,43.541452,0.5078,15.2344
both,symmetric,1.0,1.0,entropy,top50,8,40,20,3,45,14,5.134675,95.00,0.693989,10.519030,1.720730,44.404825,0.4576,6.4062
both,symmetric,1.0,1.0,entropy,top50,8,40,20,4,46,21,0.628959,85.00,0.888215,11.872128,3.966622,44.430324,0.4487,9.4219
both,symmetric,1.0,1.0,entropy,top50,8,40,20,5,47,15,8.235274,90.00,0.884685,11.539708,0.719313,44.444444,0.4437,6.6562
both,symmetric,1.0,1.0,entropy,top50,8,40,20,6,48,25,0.753019,95.00,1.211142,11.797425,2.870235,44.429033,0.4281,10.7031
both,symmetric,1.0,1.0,entropy,top50,8,40,20,7,49,18,0.887768,75.00,1.908294,16.393474,0.700673,44.432243,0.4323,7.7812
both,symmetric,1.0,1.0,entropy,top50,8,40,20,8,50,36,0.730866,85.00,1.150909,23.852716,3.860673,44.444443,0.4466,16.0781
both,symmetric,1.0,1.0,entropy,top50,8,40,20,9,51,25,3.358932,90.00,2.131119,16.258643,0.412636,44.444444,0.4288,10.7188
