mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,total_rules,rep,seed,stop_generation,best_fitness,best_accuracy,best_mse_chance,best_mse_utility,best_entropy_norm,best_util_dev,cpu_per_gen,cpu_total
both,symmetric,1.0,1.0,softmax,top50,2,10,20,1,43,7,0.114788,85.00,0.508618,6.285819,11.871691,43.329408,0.0424,0.2969
both,symmetric,1.0,1.0,softmax,top50,2,10,20,2,44,11,1.082970,75.00,0.808567,5.592269,14.618911,42.948310,0.0398,0.4375
both,symmetric,1.0,1.0,softmax,top50,2,10,20,3,45,9,0.065737,95.00,0.505860,7.669165,13.382910,40.697221,0.0417,0.3750
both,symmetric,1.0,1.0,softmax,top50,2,10,20,4,46,8,0.065526,85.00,0.660495,6.171253,10.737387,41.424642,0.0430,0.3438
both,symmetric,1.0,1.0,softmax,top50,2,10,20,5,47,11,0.235743,85.00,0.586061,8.166717,12.505265,43.367710,0.0426,0.4688
both,symmetric,1.0,1.0,softmax,top50,2,10,20,6,48,12,0.148059,85.00,0.605113,8.000863,13.975665,42.426487,0.0430,0.5156
both,symmetric,1.0,1.0,softmax,top50,2,10,20,7,49,7,0.086250,95.00,0.742280,6.884553,12.341678,43.419220,0.0402,0.2812
both,symmetric,1.0,1.0,softmax,top50,2,10,20,8,50,12,0.029882,85.00,0.495429,10.434030,13.616663,43.414452,0.0430,0.5156
both,symmetric,1.0,1.0,softmax,top50,2,10,20,9,51,15,0.106982,75.00,0.439152,7.124336,13.900625,44.354152,0.0406,0.6094
both,symmetric,1.0,1.0,softmax,top50,4,20,20,0,42,17,0.245508,90.00,0.550719,9.584376,12.947286,41.746668,0.0432,0.7344
both,symmetric,1.0,1.0,softmax,top50,4,20,20,1,43,15,0.073580,85.00,0.916853,9.160041,13.198441,43.972014,0.0427,0.6406
both,symmetric,1.0,1.0,softmax,top50,4,20,20,2,44,19,0.056273,85.00,1.079380,4.472375,13.491951,43.115708,0.0444,0.8438
both,symmetric,1.0,1.0,softmax,top50,4,20,20,3,45,16,0.142647,85.00,0.577079,6.590198,14.393994,40.048433,0.0420,0.6719
both,symmetric,1.0,1.0,softmax,top50,4,20,20,4,46,13,0.097191,85.00,0.457076,6.770911,11.977388,40.569812,0.0433,0.5625
both,symmetric,1.0,1.0,softmax,top50,4,20,20,5,47,16,0.145583,95.00,0.547076,10.208901,12.844017,43.418997,0.0400,0.6406
both,symmetric,1.0,1.0,softmax,top50,4,20,20,6,48,16,0.086371,95.00,0.715641,6.042605,14.647472,41.784317,0.0420,0.6719
both,symmetric,1.0,1.0,softmax,top50,4,20,20,7,49,9,0.091775,95.00,0.595545,8.801641,11.256151,42.679603,0.0469,0.4219
both,symmetric,1.0,1.0,softmax,top50,4,20,20,8,50,13,0.108310,85.00,0.799047,7.119478,13.041458,43.512821,0.0421,0.5469
both,symmetric,1.0,1.0,softmax,top50,4,20,20,9,51,20,0.039685,95.00,0.489428,14.289125,14.265137,43.486700,0.0430,0.8594
both,symmetric,1.0,1.0,softmax,top50,8,40,20,0,42,15,0.267047,100.00,0.364608,9.992987,12.197019,42.429509,0.0427,0.6406
both,symmetric,1.0,1.0,softmax,top50,8,40,20,1,43,17,0.175428,100.00,0.763719,12.668017,13.399632,41.380882,0.0423,0.7188
both,symmetric,1.0,1.0,softmax,top50,8,40,20,2,44,27,0.136461,90.00,0.972941,10.532815,13.685314,40.208849,0.0434,1.1719
both,symmetric,1.0,1.0,softmax,top50,8,40,20,3,45,19,0.087603,85.00,0.742405,9.877436,14.368159,40.381352,0.0444,0.8438
both,symmetric,1.0,1.0,softmax,top50,8,40,20,4,46,18,0.156851,95.00,0.654110,7.610784,11.983632,43.141926,0.0399,0.7188
both,symmetric,1.0,1.0,softmax,top50,8,40,20,5,47,17,0.159163,95.00,0.754372,6.508465,13.696286,43.155905,0.0404,0.6875
both,symmetric,1.0,1.0,softmax,top50,8,40,20,6,48,30,0.128456,95.00,1.405893,7.951740,12.335526,43.754243,0.0432,1.2969
both,symmetric,1.0,1.0,softmax,top50,8,40,20,7,49,14,0.129732,95.00,0.619186,5.136788,12.074935,41.591619,0.0413,0.5781
both,symmetric,1.0,1.0,softmax,top50,8,40,20,8,50,24,0.106385,95.00,0.854283,11.315035,14.425421,42.489992,0.0410,0.9844
both,symmetric,1.0,1.0,softmax,top50,8,40,20,9,51,11,6.021392,85.00,0.572278,8.717837,13.964191,42.947037,0.0412,0.4531
