network,optimizer,fitness_type,chance_temperature,utility_temperature,pct,n_decision_rules,total_rules,rep,seed,acc_best,acc_mean,acc_worst,sat_acc_mean,n_satisfiers,stop_generation,cpu_total
bypass,umda,margin,0.5,0.5,10,2,20,4,46,85.0,77.5,65.0,77.34693877551021,49,50,2.734375
bypass,umda,margin,0.5,1.0,10,2,20,0,42,65.0,50.4,35.0,50.833333333333336,48,50,2.765625
bypass,umda,margin,0.5,1.0,10,2,20,1,43,80.0,56.7,25.0,56.7,50,50,2.609375
bypass,umda,margin,0.5,1.0,10,2,20,2,44,85.0,71.5,55.00000000000001,71.53061224489795,49,50,3.234375
bypass,umda,margin,0.5,1.0,10,2,20,3,45,75.0,55.0,45.0,55.0,47,50,2.6875
bypass,umda,margin,0.5,1.0,10,2,20,4,46,85.0,78.9,65.0,78.9,50,50,2.828125
bypass,umda,margin,0.5,2.0,10,2,20,0,42,60.0,46.0,35.0,46.02040816326531,49,50,2.984375
bypass,umda,margin,0.5,2.0,10,2,20,1,43,65.0,51.0,35.0,51.0,50,50,2.78125
bypass,umda,margin,0.5,2.0,10,2,20,2,44,65.0,48.8,30.0,48.775510204081634,49,50,2.421875
bypass,umda,margin,0.5,2.0,10,2,20,3,45,75.0,52.2,45.0,52.3469387755102,49,50,2.609375
bypass,umda,margin,0.5,2.0,10,2,20,4,46,95.0,82.8,75.0,82.8,50,50,2.359375
bypass,umda,margin,1.0,0.5,10,2,20,0,42,50.0,40.1,35.0,40.3125,48,50,2.640625
bypass,umda,margin,1.0,0.5,10,2,20,1,43,85.0,57.3,35.0,57.3,50,50,2.59375
bypass,umda,margin,1.0,0.5,10,2,20,2,44,85.0,73.1,55.00000000000001,73.1,50,50,2.453125
bypass,umda,margin,1.0,0.5,10,2,20,3,45,85.0,69.9,45.0,69.9,50,50,2.484375
bypass,umda,margin,1.0,0.5,10,2,20,4,46,95.0,80.3,65.0,80.3,50,50,2.5625
bypass,umda,margin,1.0,1.0,10,2,20,0,42,45.0,37.1,30.0,37.1875,48,50,2.609375
bypass,umda,margin,1.0,1.0,10,2,20,1,43,75.0,60.1,40.0,60.1,50,50,2.53125
bypass,umda,margin,1.0,1.0,10,2,20,2,44,85.0,74.4,60.0,74.4,50,50,2.84375
bypass,umda,margin,1.0,1.0,10,2,20,3,45,65.0,51.0,35.0,51.0,50,50,2.4375
bypass,umda,margin,1.0,1.0,10,2,20,4,46,90.0,70.6,50.0,70.6,50,50,2.65625
bypass,umda,margin,1.0,2.0,10,2,20,0,42,65.0,47.6,35.0,47.755102040816325,49,50,2.453125
bypass,umda,margin,1.0,2.0,10,2,20,1,43,75.0,52.4,30.0,52.4,50,50,2.921875
bypass,umda,margin,1.0,2.0,10,2,20,2,44,100.0,73.6,55.00000000000001,73.6734693877551,49,50,2.671875
bypass,umda,margin,1.0,2.0,10,2,20,3,45,65.0,47.8,35.0,47.44897959183673,49,50,2.453125
bypass,umda,margin,1.0,2.0,10,2,20,4,46,90.0,75.3,55.00000000000001,75.3061224489796,49,50,2.765625
bypass,umda,margin,2.0,0.5,10,2,20,0,42,35.0,35.0,35.0,35.0,48,50,2.6875
bypass,umda,margin,2.0,0.5,10,2,20,1,43,85.0,59.8,35.0,59.8,50,50,2.609375
bypass,umda,margin,2.0,0.5,10,2,20,2,44,85.0,65.3,45.0,65.3,50,50,2.4375
bypass,umda,margin,2.0,0.5,10,2,20,3,45,95.0,61.9,35.0,61.9,50,50,2.859375
bypass,umda,margin,2.0,0.5,10,2,20,4,46,90.0,64.7,45.0,64.7,50,50,2.6875
bypass,umda,margin,2.0,1.0,10,2,20,0,42,45.0,35.7,35.0,35.714285714285715,49,50,2.703125
bypass,umda,margin,2.0,1.0,10,2,20,1,43,85.0,64.0,35.0,64.0,50,50,2.5625
bypass,umda,margin,2.0,1.0,10,2,20,2,44,85.0,75.3,60.0,75.3,50,50,2.578125
bypass,umda,margin,2.0,1.0,10,2,20,3,45,75.0,61.7,45.0,61.7,50,50,2.609375
bypass,umda,margin,2.0,1.0,10,2,20,4,46,90.0,65.1,45.0,65.1,50,50,2.875
bypass,umda,margin,2.0,2.0,10,2,20,0,42,45.0,35.9,25.0,35.91836734693877,49,50,2.71875
bypass,umda,margin,2.0,2.0,10,2,20,1,43,75.0,56.9,30.0,56.9,50,50,2.75
bypass,umda,margin,2.0,2.0,10,2,20,2,44,85.0,72.3,55.00000000000001,72.3,50,50,2.703125
bypass,umda,margin,2.0,2.0,10,2,20,3,45,75.0,52.9,35.0,52.9,50,50,2.90625
bypass,umda,margin,2.0,2.0,10,2,20,4,46,95.0,74.2,55.00000000000001,74.2,50,50,2.9375
bypass,umda,softmax,0.5,0.5,10,2,20,0,42,60.0,44.0,30.0,,0,50,2.6875
bypass,umda,softmax,0.5,0.5,10,2,20,1,43,85.0,55.6,35.0,,0,50,2.640625
bypass,umda,softmax,0.5,0.5,10,2,20,2,44,55.00000000000001,47.3,35.0,,0,50,3.375
bypass,umda,softmax,0.5,0.5,10,2,20,3,45,85.0,73.2,55.00000000000001,,0,50,3.171875
bypass,umda,softmax,0.5,0.5,10,2,20,4,46,85.0,80.2,75.0,,0,50,3.34375
