net,trigger,optimizer,rep,fitness_type,seed,size_gen,mode,total_rules,gen,n_train_rules,rule_added_after_gen,max_accuracy,n_rules_correct,mean_accuracy,pct_success_indv,gen_cpu_time
nhlv1,success,umda,0,regret,42,50,utility_only,67,46,24,False,83.5820895522388,56,82.38805970149255,0.0,13.046875
nhlv1,success,umda,0,regret,42,50,utility_only,67,47,24,False,85.07462686567165,57,82.14925373134331,0.0,12.75
nhlv1,success,umda,0,regret,42,50,utility_only,67,48,24,False,83.5820895522388,56,82.1492537313433,0.0,13.125
nhlv1,success,umda,0,regret,42,50,utility_only,67,49,24,False,83.5820895522388,56,82.35820895522389,0.0,12.796875
nhlv1,success,umda,0,regret,42,50,utility_only,67,50,24,False,83.5820895522388,56,82.26865671641792,0.0,12.90625
nhlv1,success,umda,0,regret,42,50,utility_only,67,51,24,False,83.5820895522388,56,82.23880597014926,0.0,12.90625
nhlv1,success,umda,0,regret,42,50,utility_only,67,52,24,False,83.5820895522388,56,82.05970149253733,0.0,13.125
nhlv1,success,umda,0,regret,42,50,utility_only,67,53,24,False,83.5820895522388,56,82.23880597014926,0.0,13.171875
nhlv1,success,umda,0,regret,42,50,utility_only,67,54,24,False,83.5820895522388,56,82.20895522388061,0.0,12.84375
nhlv1,success,umda,0,regret,42,50,utility_only,67,55,24,False,83.5820895522388,56,82.20895522388061,0.0,13.140625
nhlv1,success,umda,0,regret,42,50,utility_only,67,56,24,False,83.5820895522388,56,82.1492537313433,0.0,13.0
nhlv1,success,umda,0,regret,42,50,utility_only,67,57,24,False,83.5820895522388,56,82.00000000000001,0.0,13.046875
nhlv1,success,umda,0,regret,42,50,utility_only,67,58,24,False,83.5820895522388,56,82.1492537313433,0.0,12.78125
nhlv1,success,umda,0,regret,42,50,utility_only,67,59,24,False,83.5820895522388,56,82.38805970149255,0.0,13.0
nhlv1,success,umda,0,regret,42,50,utility_only,67,60,24,False,85.07462686567165,57,82.50746268656718,0.0,13.15625
nhlv1,success,umda,0,regret,42,50,utility_only,67,61,24,False,85.07462686567165,57,82.4179104477612,0.0,13.0625
nhlv1,success,umda,0,regret,42,50,utility_only,67,62,24,False,83.5820895522388,56,82.17910447761194,0.0,13.03125
nhlv1,success,umda,0,regret,42,50,utility_only,67,63,24,False,85.07462686567165,57,82.17910447761194,0.0,12.921875
nhlv1,success,umda,0,regret,42,50,utility_only,67,64,24,False,85.07462686567165,57,82.32835820895524,0.0,13.1875
nhlv1,success,umda,0,regret,42,50,utility_only,67,65,24,False,85.07462686567165,57,82.23880597014926,0.0,13.0625
nhlv1,success,umda,0,regret,42,50,utility_only,67,66,24,False,83.5820895522388,56,82.35820895522389,0.0,13.078125
nhlv1,success,umda,0,regret,42,50,utility_only,67,67,24,False,85.07462686567165,57,82.35820895522389,0.0,12.765625
nhlv1,success,umda,0,regret,42,50,utility_only,67,68,24,False,85.07462686567165,57,82.44776119402987,0.0,13.328125
nhlv1,success,umda,0,regret,42,50,utility_only,67,69,24,False,85.07462686567165,57,82.6268656716418,0.0,13.0625
nhlv1,success,umda,0,regret,42,50,utility_only,67,70,24,False,85.07462686567165,57,82.86567164179105,0.0,12.96875
nhlv1,success,umda,0,regret,42,50,utility_only,67,71,24,False,85.07462686567165,57,82.80597014925374,0.0,12.90625
nhlv1,success,umda,0,regret,42,50,utility_only,67,72,24,False,85.07462686567165,57,82.77611940298507,0.0,13.03125
nhlv1,success,umda,0,regret,42,50,utility_only,67,73,24,False,86.56716417910447,58,82.86567164179105,0.0,13.125
nhlv1,success,umda,0,regret,42,50,utility_only,67,74,24,False,85.07462686567165,57,82.83582089552239,0.0,12.921875
nhlv1,success,umda,0,regret,42,50,utility_only,67,75,24,False,85.07462686567165,57,82.71641791044776,0.0,13.40625
nhlv1,success,umda,0,regret,42,50,utility_only,67,76,24,False,85.07462686567165,57,82.92537313432837,0.0,13.140625
nhlv1,success,umda,0,regret,42,50,utility_only,67,77,24,False,85.07462686567165,57,82.83582089552239,0.0,13.046875
nhlv1,success,umda,0,regret,42,50,utility_only,67,78,24,False,85.07462686567165,57,82.95522388059702,0.0,13.109375
nhlv1,success,umda,0,regret,42,50,utility_only,67,79,24,False,85.07462686567165,57,83.01492537313433,0.0,12.90625
nhlv1,success,umda,0,regret,42,50,utility_only,67,80,24,False,85.07462686567165,57,82.92537313432837,0.0,13.234375
nhlv1,success,umda,0,regret,42,50,utility_only,67,81,24,False,88.05970149253731,59,83.31343283582089,0.0,13.015625
nhlv1,success,umda,0,regret,42,50,utility_only,67,82,24,False,85.07462686567165,57,82.80597014925374,0.0,13.015625
nhlv1,success,umda,0,regret,42,50,utility_only,67,83,24,False,85.07462686567165,57,82.83582089552239,0.0,13.125
nhlv1,success,umda,0,regret,42,50,utility_only,67,84,24,False,85.07462686567165,57,82.65671641791046,0.0,12.921875
nhlv1,success,umda,0,regret,42,50,utility_only,67,85,24,False,85.07462686567165,57,83.01492537313433,0.0,13.015625
nhlv1,success,umda,0,regret,42,50,utility_only,67,86,24,False,85.07462686567165,57,82.92537313432837,0.0,13.015625
nhlv1,success,umda,0,regret,42,50,utility_only,67,87,24,False,85.07462686567165,57,82.98507462686568,0.0,13.203125
nhlv1,success,umda,0,regret,42,50,utility_only,67,88,24,False,85.07462686567165,57,82.98507462686568,0.0,12.984375
nhlv1,success,umda,0,regret,42,50,utility_only,67,89,24,False,85.07462686567165,57,83.28358208955224,0.0,13.03125
nhlv1,success,umda,0,regret,42,50,utility_only,67,90,24,False,85.07462686567165,57,83.40298507462687,0.0,12.90625
nhlv1,success,umda,0,regret,42,50,utility_only,67,91,24,False,85.07462686567165,57,83.16417910447761,0.0,13.484375
nhlv1,success,umda,0,regret,42,50,utility_only,67,92,24,False,85.07462686567165,57,82.86567164179105,0.0,12.890625
nhlv1,success,umda,0,regret,42,50,utility_only,67,93,24,False,85.07462686567165,57,82.86567164179105,0.0,13.0625
nhlv1,success,umda,0,regret,42,50,utility_only,67,94,24,False,85.07462686567165,57,83.01492537313433,0.0,13.0625
nhlv1,success,umda,0,regret,42,50,utility_only,67,95,24,False,85.07462686567165,57,83.10447761194031,0.0,13.625
nhlv1,success,umda,0,regret,42,50,utility_only,67,96,24,False,85.07462686567165,57,82.95522388059702,0.0,12.984375
nhlv1,success,umda,0,regret,42,50,utility_only,67,97,24,False,85.07462686567165,57,83.22388059701494,0.0,13.140625
nhlv1,success,umda,0,regret,42,50,utility_only,67,98,24,False,85.07462686567165,57,83.01492537313433,0.0,13.046875
nhlv1,success,umda,0,regret,42,50,utility_only,67,99,24,False,85.07462686567165,57,82.65671641791046,0.0,13.046875
nhlv1,success,umda,0,regret,42,50,utility_only,67,100,24,False,86.56716417910447,58,83.19402985074626,0.0,12.984375
nhlv1,success,umda,1,regret,43,50,utility_only,67,1,1,True,80.59701492537313,54,43.7313432835821,0.0,13.640625
nhlv1,success,umda,1,regret,43,50,utility_only,67,2,2,False,82.08955223880598,55,50.77611940298507,0.0,13.5
nhlv1,success,umda,1,regret,43,50,utility_only,67,3,2,False,80.59701492537313,54,54.38805970149255,0.0,13.640625
nhlv1,success,umda,1,regret,43,50,utility_only,67,4,2,False,82.08955223880598,55,53.223880597014926,0.0,13.515625
nhlv1,success,umda,1,regret,43,50,utility_only,67,5,2,False,80.59701492537313,54,50.955223880597025,0.0,13.40625
nhlv1,success,umda,1,regret,43,50,utility_only,67,6,2,False,79.1044776119403,53,53.28358208955224,0.0,13.609375
nhlv1,success,umda,1,regret,43,50,utility_only,67,7,2,True,79.1044776119403,53,50.47761194029851,0.0,13.40625
nhlv1,success,umda,1,regret,43,50,utility_only,67,8,3,True,77.61194029850746,52,49.671641791044784,0.0,13.46875
nhlv1,success,umda,1,regret,43,50,utility_only,67,9,4,False,79.1044776119403,53,55.01492537313432,0.0,13.5
nhlv1,success,umda,1,regret,43,50,utility_only,67,10,4,False,82.08955223880598,55,62.95522388059701,0.0,13.3125
nhlv1,success,umda,1,regret,43,50,utility_only,67,11,4,True,82.08955223880598,55,60.08955223880598,0.0,13.5
nhlv1,success,umda,1,regret,43,50,utility_only,67,12,5,True,82.08955223880598,55,67.16417910447761,0.0,13.296875
nhlv1,success,umda,1,regret,43,50,utility_only,67,13,6,False,80.59701492537313,54,67.55223880597015,0.0,13.484375
nhlv1,success,umda,1,regret,43,50,utility_only,67,14,6,False,80.59701492537313,54,68.4776119402985,0.0,13.5
nhlv1,success,umda,1,regret,43,50,utility_only,67,15,6,False,77.61194029850746,52,66.0,0.0,13.453125
nhlv1,success,umda,1,regret,43,50,utility_only,67,16,6,False,79.1044776119403,53,68.65671641791045,0.0,13.65625
nhlv1,success,umda,1,regret,43,50,utility_only,67,17,6,False,79.1044776119403,53,67.82089552238807,0.0,13.09375
nhlv1,success,umda,1,regret,43,50,utility_only,67,18,6,False,77.61194029850746,52,67.37313432835822,0.0,13.59375
nhlv1,success,umda,1,regret,43,50,utility_only,67,19,6,False,77.61194029850746,52,69.76119402985076,0.0,12.984375
nhlv1,success,umda,1,regret,43,50,utility_only,67,20,6,False,82.08955223880598,55,71.5223880597015,0.0,13.40625
nhlv1,success,umda,1,regret,43,50,utility_only,67,21,6,False,82.08955223880598,55,70.11940298507461,0.0,13.421875
nhlv1,success,umda,1,regret,43,50,utility_only,67,22,6,False,82.08955223880598,55,70.23880597014926,0.0,13.421875
nhlv1,success,umda,1,regret,43,50,utility_only,67,23,6,False,80.59701492537313,54,70.6268656716418,0.0,13.546875
nhlv1,success,umda,1,regret,43,50,utility_only,67,24,6,False,74.6268656716418,50,69.34328358208955,0.0,13.5
nhlv1,success,umda,1,regret,43,50,utility_only,67,25,6,False,82.08955223880598,55,71.3134328358209,0.0,13.484375
nhlv1,success,umda,1,regret,43,50,utility_only,67,26,6,False,80.59701492537313,54,71.73134328358209,0.0,13.203125
nhlv1,success,umda,1,regret,43,50,utility_only,67,27,6,False,82.08955223880598,55,70.08955223880598,0.0,13.46875
nhlv1,success,umda,1,regret,43,50,utility_only,67,28,6,False,79.1044776119403,53,72.41791044776119,0.0,13.59375
nhlv1,success,umda,1,regret,43,50,utility_only,67,29,6,False,77.61194029850746,52,70.05970149253733,0.0,13.890625
nhlv1,success,umda,1,regret,43,50,utility_only,67,30,6,False,77.61194029850746,52,70.92537313432835,0.0,13.421875
nhlv1,success,umda,1,regret,43,50,utility_only,67,31,6,False,77.61194029850746,52,71.19402985074628,0.0,13.421875
nhlv1,success,umda,1,regret,43,50,utility_only,67,32,6,False,77.61194029850746,52,68.1492537313433,0.0,13.25
nhlv1,success,umda,1,regret,43,50,utility_only,67,33,6,False,76.11940298507463,51,68.44776119402987,0.0,13.640625
nhlv1,success,umda,1,regret,43,50,utility_only,67,34,6,False,74.6268656716418,50,70.98507462686568,0.0,13.3125
nhlv1,success,umda,1,regret,43,50,utility_only,67,35,6,False,77.61194029850746,52,71.10447761194031,0.0,13.0625
nhlv1,success,umda,1,regret,43,50,utility_only,67,36,6,False,77.61194029850746,52,70.74626865671642,0.0,13.34375
nhlv1,success,umda,1,regret,43,50,utility_only,67,37,6,False,76.11940298507463,51,70.65671641791046,0.0,13.375
nhlv1,success,umda,1,regret,43,50,utility_only,67,38,6,False,82.08955223880598,55,71.3731343283582,0.0,13.1875
nhlv1,success,umda,1,regret,43,50,utility_only,67,39,6,False,77.61194029850746,52,70.8955223880597,0.0,13.125
nhlv1,success,umda,1,regret,43,50,utility_only,67,40,6,False,77.61194029850746,52,70.56716417910448,0.0,13.40625
nhlv1,success,umda,1,regret,43,50,utility_only,67,41,6,False,76.11940298507463,51,70.02985074626866,0.0,13.59375
nhlv1,success,umda,1,regret,43,50,utility_only,67,42,6,False,76.11940298507463,51,69.55223880597015,0.0,13.59375
nhlv1,success,umda,1,regret,43,50,utility_only,67,43,6,False,76.11940298507463,51,69.31343283582089,0.0,13.6875
nhlv1,success,umda,1,regret,43,50,utility_only,67,44,6,False,71.64179104477611,48,69.19402985074626,0.0,13.4375
nhlv1,success,umda,1,regret,43,50,utility_only,67,45,6,False,73.13432835820896,49,69.49253731343283,0.0,13.484375
nhlv1,success,umda,1,regret,43,50,utility_only,67,46,6,False,71.64179104477611,48,68.95522388059702,0.0,13.453125
nhlv1,success,umda,1,regret,43,50,utility_only,67,47,6,False,73.13432835820896,49,68.80597014925374,0.0,13.546875
nhlv1,success,umda,1,regret,43,50,utility_only,67,48,6,False,71.64179104477611,48,69.49253731343283,0.0,13.46875
nhlv1,success,umda,1,regret,43,50,utility_only,67,49,6,False,71.64179104477611,48,69.16417910447761,0.0,13.421875
nhlv1,success,umda,1,regret,43,50,utility_only,67,50,6,False,73.13432835820896,49,69.64179104477613,0.0,13.640625
nhlv1,success,umda,1,regret,43,50,utility_only,67,51,6,False,73.13432835820896,49,69.34328358208955,0.0,13.625
