net,optimizer,fitness_type,rules_pct,n_train_rules,noise,n_noisy_rules,n_correct_rules,rep,seed,size_gen,total_rules,stop_generation,best_accuracy,mean_accuracy,mse_chance,mse_utility,cpu_total
bypass2,umda,regret,40,8,0.25,2,6,2,44,50,20,60,90.0,72.3,0.8966921134814242,11.151908508901396,3.8125
bypass2,umda,regret,40,8,0.25,2,6,3,45,50,20,60,85.0,71.4,1.0753760818498892,11.460753361066729,3.875
bypass2,umda,regret,40,8,0.25,2,6,4,46,50,20,15,75.0,62.6,0.8563086035441261,13.398775254288735,1.3125
bypass2,umda,regret,40,8,0.25,2,6,5,47,50,20,26,80.0,62.2,0.9079584712309918,9.004302988161982,3.71875
bypass2,umda,regret,40,8,0.25,2,6,6,48,50,20,47,75.0,58.0,1.3902831851109088,16.325334764569007,4.359375
bypass2,umda,regret,40,8,0.25,2,6,7,49,50,20,60,75.0,64.8,0.9256900691906783,18.14256909987769,4.484375
bypass2,umda,regret,40,8,0.25,2,6,8,50,50,20,16,75.0,51.9,0.5290193607481025,3.5100680548228063,1.0625
bypass2,umda,regret,40,8,0.25,2,6,9,51,50,20,12,75.0,59.1,0.658340409204925,7.028784105969913,0.8125
bypass2,umda,regret,40,8,0.5,4,4,0,42,50,20,60,65.0,54.4,0.827287850543436,10.006121577217227,4.265625
bypass2,umda,regret,40,8,0.5,4,4,1,43,50,20,30,55.00000000000001,40.1,1.4222146836557372,14.36612736422433,2.296875
bypass2,umda,regret,40,8,0.5,4,4,2,44,50,20,60,75.0,62.2,0.5939656216852087,29.140935572112035,4.296875
bypass2,umda,regret,40,8,0.5,4,4,3,45,50,20,60,85.0,58.4,0.7284764937732002,11.466074933287326,4.375
bypass2,umda,regret,40,8,0.5,4,4,4,46,50,20,60,65.0,45.1,0.7147837376668469,11.550596905345593,4.625
bypass2,umda,regret,40,8,0.5,4,4,5,47,50,20,43,60.0,43.7,0.648378437870772,6.184737357817695,3.34375
bypass2,umda,regret,40,8,0.5,4,4,6,48,50,20,60,65.0,57.0,0.8254098703511815,10.381898127034706,4.25
bypass2,umda,regret,40,8,0.5,4,4,7,49,50,20,60,60.0,38.1,1.2017883941313858,19.88527601900588,5.171875
bypass2,umda,regret,40,8,0.5,4,4,8,50,50,20,23,85.0,59.6,0.9735612568859586,5.674850121659604,1.765625
bypass2,umda,regret,40,8,0.5,4,4,9,51,50,20,21,65.0,49.7,0.9877191403274604,9.958260917763019,1.5625
bypass2,umda,regret,60,12,0.0,0,12,0,42,50,20,19,85.0,79.0,0.8038919200556353,8.371964405749681,1.5
bypass2,umda,regret,60,12,0.0,0,12,1,43,50,20,25,100.0,92.7,1.6884407843318185,33.75383960359388,1.78125
bypass2,umda,regret,60,12,0.0,0,12,2,44,50,20,60,85.0,76.8,0.7437597900151417,30.03159979836896,4.265625
bypass2,umda,regret,60,12,0.0,0,12,3,45,50,20,15,85.0,75.8,0.675737674399474,7.836671215756564,1.1875
bypass2,umda,regret,60,12,0.0,0,12,4,46,50,20,15,95.0,85.3,0.7194549158284722,8.079455946443286,1.15625
bypass2,umda,regret,60,12,0.0,0,12,5,47,50,20,14,90.0,77.0,0.6193757388204709,2.52428442213475,1.234375
bypass2,umda,regret,60,12,0.0,0,12,6,48,50,20,17,95.0,72.3,0.9014157008956185,4.475685634028178,1.546875
bypass2,umda,regret,60,12,0.0,0,12,7,49,50,20,16,90.0,75.2,0.8989617482773907,11.795257463394222,1.21875
bypass2,umda,regret,60,12,0.0,0,12,8,50,50,20,60,90.0,78.1,1.0737778658632906,10.6730831379496,5.078125
bypass2,umda,regret,60,12,0.0,0,12,9,51,50,20,24,100.0,77.1,0.7638855313083069,5.516603042388802,2.21875
bypass2,umda,regret,60,12,0.25,3,9,0,42,50,20,60,75.0,60.7,1.1329531799369934,19.122846601265646,5.140625
bypass2,umda,regret,60,12,0.25,3,9,1,43,50,20,60,95.0,76.5,1.7895594942654796,19.48718115964963,4.59375
bypass2,umda,regret,60,12,0.25,3,9,2,44,50,20,60,75.0,63.5,0.5858532978006967,32.328378343662536,4.640625
bypass2,umda,regret,60,12,0.25,3,9,3,45,50,20,60,65.0,52.3,0.7531438076896526,10.206200847724672,4.46875
bypass2,umda,regret,60,12,0.25,3,9,4,46,50,20,50,85.0,72.2,0.6329267345979167,12.816042167598567,3.796875
bypass2,umda,regret,60,12,0.25,3,9,5,47,50,20,60,75.0,65.3,1.0375229427186978,7.382149646582513,4.828125
bypass2,umda,regret,60,12,0.25,3,9,6,48,50,20,45,85.0,76.4,0.5836627002791355,13.753623522046414,3.375
bypass2,umda,regret,60,12,0.25,3,9,7,49,50,20,57,80.0,67.7,1.069405316735715,24.880251243341743,4.78125
bypass2,umda,regret,60,12,0.25,3,9,8,50,50,20,60,85.0,64.6,1.1782303248913033,5.885100328977397,4.453125
bypass2,umda,regret,60,12,0.25,3,9,9,51,50,20,60,90.0,75.0,0.8111162202719661,21.518948183474738,4.078125
bypass2,umda,regret,60,12,0.5,6,6,0,42,50,20,48,60.0,47.3,0.7622462743853579,10.07753245019983,3.265625
bypass2,umda,regret,60,12,0.5,6,6,1,43,50,20,60,65.0,52.2,0.7704264687001454,19.958608945364738,3.890625
