network,optimizer,pct,stop_mode,n_runs,runs_with_satisfiers,mean_n_satisfiers,total_satisfiers,sat_pool_mean,sat_pool_std,sat_pool_best,sat_pool_worst,sat_runmean_mean,sat_runbest_mean,sat_runworst_mean,pop_acc_mean,pop_acc_best,pop_acc_worst,stop_gen_mean,cpu_total_mean
bypass,umda,30,top10,10,9,44.7,0,,,,,74.73735827664399,86.66666666666667,62.22222222222222,72.91999999999999,85.0,60.5,55.0,2.4203125
bypass,umda,30,top30,10,9,44.7,0,,,,,74.73735827664399,86.66666666666667,62.22222222222222,72.91999999999999,85.0,60.5,55.0,2.4484375
bypass,umda,30,top50,10,9,44.7,0,,,,,74.73735827664399,86.66666666666667,62.22222222222222,72.91999999999999,85.0,60.5,55.0,2.4140625
bypass,umda,30,top70,10,9,44.7,0,,,,,74.73735827664399,86.66666666666667,62.22222222222222,72.91999999999999,85.0,60.5,55.0,2.4375
bypass,umda,30,top90,10,9,44.7,0,,,,,74.73735827664399,86.66666666666667,62.22222222222222,72.91999999999999,85.0,60.5,55.0,3.634375
nhlv1,emna,5,top90,5,5,48.2,0,,,,,86.06278745223082,98.50746268656717,69.25373134328359,85.79104477611939,98.50746268656717,62.985074626865675,51.0,675.2
nhlv1,emna,10,top90,5,5,46.0,0,,,,,83.82234065564867,93.43283582089552,74.6268656716418,82.87761194029851,93.43283582089552,47.46268656716418,50.0,662.275
nhlv1,emna,20,top90,5,5,46.4,0,,,,,90.26259340588052,96.4179104477612,82.08955223880596,90.3223880597015,97.3134328358209,82.08955223880596,53.4,721.9625
nhlv1,emna,30,top90,5,4,36.6,0,,,,,94.64224514185163,99.25373134328358,89.17910447761194,92.99104477611941,98.80597014925374,85.37313432835819,75.4,1010.1
nhlv1,umda,5,top90,5,5,50.0,0,,,,,73.45671641791044,77.31343283582089,69.25373134328359,73.45671641791044,77.31343283582089,69.25373134328359,50.0,776.11875
nhlv1,umda,10,top90,5,5,50.0,0,,,,,74.88955223880598,78.2089552238806,72.83582089552239,74.88955223880598,78.2089552238806,72.83582089552239,50.0,674.64375
nhlv1,umda,20,top90,5,4,39.6,0,,,,,77.91542288557214,82.46268656716418,75.74626865671642,75.83880597014925,80.0,73.43283582089552,60.0,803.603125
nhlv1,umda,30,top90,5,2,19.6,0,,,,,82.75995024875621,82.83582089552237,80.59701492537314,80.85373134328356,82.08955223880596,78.50746268656717,80.0,1049.35
