network,optimizer,mode,pct,n_decision_rules,total_rules,stop_mode,rep,seed,pop_size,n_satisfiers,frac_satisfiers,sat_acc_mean,sat_acc_std,sat_acc_best,sat_acc_worst,pop_acc_mean,pop_acc_best,pop_acc_worst,best_fitness,stop_generation,cpu_total
bypass,umda,both,10,2,20,top70,7,49,50,49,0.98,74.6938775510204,7.720114416072546,85.0,55.00000000000001,74.6,85.0,55.00000000000001,0.0,50,2.1875
bypass,umda,both,10,2,20,top70,8,50,50,50,1.0,64.8,1.3999999999999992,65.0,55.00000000000001,64.8,65.0,55.00000000000001,0.0,50,2.109375
bypass,umda,both,10,2,20,top70,9,51,50,50,1.0,44.1,5.26212884676915,55.00000000000001,35.0,44.1,55.00000000000001,35.0,0.0,50,2.125
bypass,umda,both,10,2,20,top90,0,42,50,50,1.0,45.8,4.400000000000001,65.0,35.0,45.8,65.0,35.0,0.0,50,2.265625
bypass,umda,both,10,2,20,top90,1,43,50,50,1.0,61.9,9.944345126754198,85.0,30.0,61.9,85.0,30.0,0.0,50,2.34375
bypass,umda,both,10,2,20,top90,2,44,50,50,1.0,78.4,8.027452896155792,95.0,60.0,78.4,95.0,60.0,0.0,50,2.984375
bypass,umda,both,10,2,20,top90,3,45,50,50,1.0,52.9,7.621679604916491,65.0,35.0,52.9,65.0,35.0,0.0,50,2.625
bypass,umda,both,10,2,20,top90,4,46,50,50,1.0,71.8,8.29216497665115,85.0,45.0,71.8,85.0,45.0,0.0,50,2.171875
bypass,umda,both,10,2,20,top90,5,47,50,50,1.0,70.0,8.48528137423857,90.0,50.0,70.0,90.0,50.0,0.0,50,2.21875
bypass,umda,both,10,2,20,top90,6,48,50,50,1.0,56.2,4.643274706497559,65.0,45.0,56.2,65.0,45.0,0.0,50,2.15625
bypass,umda,both,10,2,20,top90,7,49,50,49,0.98,74.6938775510204,7.720114416072546,85.0,55.00000000000001,74.6,85.0,55.00000000000001,0.0,50,2.15625
