mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,generation,mean_fitness,mean_accuracy,mean_error_chance,mean_error_utility,mean_entropy_norm,mean_util_dev
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,30,0.140616,94.18,0.000000,21.285024,18.825307,41.929260
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,31,0.139618,94.10,0.000000,21.166635,18.825307,41.890281
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,32,0.136426,94.36,0.000000,20.735805,18.825307,41.952761
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,33,0.140100,94.16,0.000000,20.930437,18.825307,41.994031
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,34,0.134845,94.14,0.000000,20.832344,18.825307,42.061005
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,35,0.135197,94.12,0.000000,21.025658,18.825307,42.304315
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,36,0.130601,94.14,0.000000,21.029153,18.825307,42.303143
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,37,0.128620,94.12,0.000000,20.959683,18.825307,42.372833
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,38,0.128220,94.08,0.000000,21.052799,18.825307,42.357922
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,39,0.128560,94.08,0.000000,21.056538,18.825307,42.341053
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,40,0.131408,94.10,0.000000,21.074403,18.825307,42.287796
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,41,0.126196,94.04,0.000000,20.934126,18.825307,42.447781
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,42,0.125584,94.00,0.000000,21.056636,18.825307,42.483372
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,43,0.131208,94.06,0.000000,21.225505,18.825307,42.362339
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,44,0.129244,94.02,0.000000,21.243095,18.825307,42.410563
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,45,0.126341,94.00,0.000000,20.991422,18.825307,42.394307
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,46,0.124337,94.04,0.000000,20.878270,18.825307,42.446881
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,47,0.132961,94.04,0.000000,21.109958,18.825307,42.376697
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,48,0.129044,94.06,0.000000,20.965440,18.825307,42.430024
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,1,1.247869,81.00,0.000000,18.996318,18.825307,36.818327
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,2,0.923523,91.72,0.000000,18.594246,18.825307,36.518296
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,3,0.794858,92.38,0.000000,18.891634,18.825307,35.986668
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,4,0.732872,92.50,0.000000,19.154716,18.825307,36.312364
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,5,0.696650,92.82,0.000000,18.839283,18.825307,36.492205
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,6,0.633256,93.68,0.000000,19.165234,18.825307,37.128391
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,7,0.617239,92.58,0.000000,19.756016,18.825307,38.411027
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,8,0.590159,92.40,0.000000,20.060544,18.825307,39.182027
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,9,0.568368,93.62,0.000000,20.762024,18.825307,39.062146
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,10,0.559270,93.78,0.000000,20.698535,18.825307,38.296682
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,11,0.538337,94.46,0.000000,21.408520,18.825307,37.973784
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,12,0.532344,93.86,0.000000,22.188500,18.825307,38.892636
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,13,0.523426,93.88,0.000000,22.550552,18.825307,39.826939
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,14,0.494819,94.32,0.000000,22.541332,18.825307,39.737903
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,15,0.479543,93.92,0.000000,22.297631,18.825307,39.854803
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,16,0.497826,92.58,0.000000,22.921025,18.825307,40.882620
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,17,0.459315,91.66,0.000000,22.533473,18.825307,40.764237
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,18,0.442122,91.72,0.000000,22.567109,18.825307,40.834018
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,19,0.426631,91.74,0.000000,23.180940,18.825307,41.351082
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,20,0.420953,92.60,0.000000,23.263651,18.825307,41.155336
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,21,0.405822,93.32,0.000000,22.926033,18.825307,41.297036
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,22,0.402705,93.80,0.000000,23.133641,18.825307,41.012680
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,23,0.398602,94.36,0.000000,23.170302,18.825307,40.737325
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,24,0.421669,94.68,0.000000,22.970979,18.825307,40.788323
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,25,0.386948,94.74,0.000000,23.047682,18.825307,40.595873
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,26,0.409745,94.72,0.000000,23.037066,18.825307,40.524821
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,27,0.401267,94.66,0.000000,23.237997,18.825307,40.645285
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,28,0.396721,94.86,0.000000,23.621827,18.825307,40.895939
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,29,0.398161,94.86,0.000000,23.733062,18.825307,40.909587
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,30,0.397050,94.80,0.000000,23.637410,18.825307,40.900040
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,31,0.397934,94.86,0.000000,23.534754,18.825307,40.796569
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,32,0.398945,94.80,0.000000,23.582007,18.825307,40.827335
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,33,0.397950,94.86,0.000000,23.489831,18.825307,40.757411
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,34,0.400724,94.82,0.000000,23.875137,18.825307,40.842449
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,35,0.397866,94.86,0.000000,23.646995,18.825307,40.765068
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,36,0.398850,94.82,0.000000,23.271234,18.825307,40.402229
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,37,0.399062,94.86,0.000000,23.721587,18.825307,40.892745
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,38,0.399244,94.80,0.000000,23.589781,18.825307,40.780091
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,39,0.403751,94.82,0.000000,23.699126,18.825307,40.886848
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,40,0.405616,94.88,0.000000,23.795308,18.825307,40.844996
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,41,0.403447,94.88,0.000000,23.825697,18.825307,40.981805
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,42,0.401955,94.88,0.000000,23.900500,18.825307,40.987074
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,43,0.403030,94.88,0.000000,23.966057,18.825307,40.944794
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,44,0.403591,94.80,0.000000,23.492741,18.825307,40.672082
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,45,0.405379,94.76,0.000000,23.990998,18.825307,40.918919
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,46,0.404329,94.80,0.000000,23.762287,18.825307,40.779923
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,47,0.403727,94.82,0.000000,23.736286,18.825307,40.917482
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,48,0.402899,94.86,0.000000,23.841596,18.825307,40.859799
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,49,0.402569,94.88,0.000000,23.682271,18.825307,40.682183
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,50,0.403073,94.86,0.000000,23.986585,18.825307,40.949386
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,51,0.404175,94.84,0.000000,23.583210,18.825307,40.809836
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,52,0.403319,94.88,0.000000,23.523325,18.825307,40.761258
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,53,0.402892,94.88,0.000000,23.333463,18.825307,40.807616
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,54,0.403366,94.88,0.000000,23.284789,18.825307,40.732204
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,55,0.404027,94.88,0.000000,23.406150,18.825307,40.888143
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,56,0.403443,94.86,0.000000,23.379658,18.825307,41.005159
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,57,0.403678,94.82,0.000000,23.097209,18.825307,40.896181
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,58,0.402503,94.88,0.000000,23.270015,18.825307,41.026165
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,59,0.404635,94.86,0.000000,23.079790,18.825307,40.918205
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,60,0.403772,94.86,0.000000,23.111642,18.825307,41.009441
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,1,2.736399,81.00,0.000000,18.996318,18.825307,36.818327
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,2,2.085736,89.20,0.000000,17.845050,18.825307,36.761841
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,3,1.978465,90.40,0.000000,18.549155,18.825307,37.423788
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,4,1.843467,92.40,0.000000,18.950070,18.825307,37.170643
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,5,1.716940,94.98,0.000000,17.992984,18.825307,37.094519
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,6,1.607955,96.16,0.000000,17.659083,18.825307,36.410507
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,7,1.520965,96.42,0.000000,17.545490,18.825307,36.222062
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,8,1.446925,96.50,0.000000,18.242906,18.825307,37.109912
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,9,1.428113,96.08,0.000000,18.376271,18.825307,37.297603
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,10,1.400414,96.10,0.000000,18.542867,18.825307,36.997426
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,11,1.353910,96.12,0.000000,19.317532,18.825307,37.587225
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,12,1.399684,96.04,0.000000,18.581888,18.825307,37.904255
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,13,1.395491,95.78,0.000000,19.223751,18.825307,37.776682
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,14,1.360144,95.80,0.000000,18.717128,18.825307,38.126507
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,15,1.371022,95.76,0.000000,19.168214,18.825307,39.034548
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,16,1.384036,95.32,0.000000,19.350812,18.825307,39.052910
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,17,1.401838,95.66,0.000000,18.970171,18.825307,38.402609
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,18,1.337664,95.58,0.000000,19.060293,18.825307,39.034366
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,19,1.346711,95.74,0.000000,18.368458,18.825307,38.917533
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,20,1.316337,95.76,0.000000,18.417316,18.825307,38.618896
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,21,1.392299,95.52,0.000000,18.416924,18.825307,39.666633
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,22,1.407758,95.66,0.000000,18.523312,18.825307,39.397726
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,23,1.427162,95.58,0.000000,18.576051,18.825307,39.046248
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,24,1.396961,95.84,0.000000,18.351243,18.825307,38.643089
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,25,1.318443,95.82,0.000000,18.447901,18.825307,39.124987
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,26,1.355979,95.68,0.000000,18.377292,18.825307,38.822148
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,27,1.347977,95.74,0.000000,18.308063,18.825307,38.831037
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,28,1.369326,95.62,0.000000,18.250967,18.825307,38.733020
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,29,1.384895,95.34,0.000000,18.248262,18.825307,38.404419
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,30,1.334171,95.56,0.000000,18.104443,18.825307,38.243919
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,31,1.339045,95.62,0.000000,18.162859,18.825307,38.159007
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,32,1.336795,95.60,0.000000,18.283783,18.825307,38.220450
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,33,1.333793,95.60,0.000000,18.322669,18.825307,38.173281
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,34,1.339114,95.62,0.000000,18.233936,18.825307,38.216866
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,35,1.340330,95.62,0.000000,18.271261,18.825307,38.312107
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,36,1.331888,95.58,0.000000,18.314184,18.825307,38.231065
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,37,1.353265,95.62,0.000000,18.452478,18.825307,38.280958
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,38,1.348278,95.60,0.000000,18.374060,18.825307,38.364180
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,39,1.332634,95.58,0.000000,18.401936,18.825307,38.209823
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,40,1.335343,95.60,0.000000,18.294093,18.825307,38.265574
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,41,1.336005,95.60,0.000000,18.209041,18.825307,38.238284
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,42,1.340016,95.62,0.000000,18.028849,18.825307,38.171656
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,43,1.339588,95.58,0.000000,18.069643,18.825307,38.377425
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,44,1.337250,95.62,0.000000,18.211814,18.825307,38.205801
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,45,1.346489,95.68,0.000000,18.080556,18.825307,38.250577
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,46,1.360388,95.72,0.000000,18.043654,18.825307,38.326586
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,47,1.347632,95.66,0.000000,18.056436,18.825307,38.353089
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,48,1.360033,95.64,0.000000,18.198454,18.825307,38.442312
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,49,1.362695,95.58,0.000000,18.524943,18.825307,38.700034
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,50,1.380364,95.74,0.000000,18.415322,18.825307,38.531728
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,51,1.379227,95.68,0.000000,18.304858,18.825307,38.628200
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,52,1.385463,95.50,0.000000,18.363971,18.825307,38.694570
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,53,1.359974,95.66,0.000000,18.195417,18.825307,38.434607
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,54,1.361174,95.66,0.000000,18.209776,18.825307,38.434090
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,55,1.366507,95.74,0.000000,18.058140,18.825307,38.526579
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,56,1.359807,95.72,0.000000,18.042493,18.825307,38.186441
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,57,1.353461,95.70,0.000000,18.088658,18.825307,38.239774
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,58,1.362491,95.78,0.000000,18.037895,18.825307,38.061993
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,59,1.356499,95.66,0.000000,18.115775,18.825307,38.488552
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,60,1.358809,95.68,0.000000,18.071167,18.825307,38.559774
utility_only,non_symmetric,1.0,1.0,margin,top50,8,40,1,5.303593,81.00,0.000000,18.996318,18.825307,36.818327
utility_only,non_symmetric,1.0,1.0,margin,top50,8,40,2,4.304881,90.38,0.000000,18.180730,18.825307,37.089416
utility_only,non_symmetric,1.0,1.0,margin,top50,8,40,3,3.886431,91.50,0.000000,18.012561,18.825307,37.055309
utility_only,non_symmetric,1.0,1.0,margin,top50,8,40,4,3.646896,94.42,0.000000,17.815323,18.825307,37.081765
utility_only,non_symmetric,1.0,1.0,margin,top50,8,40,5,3.454593,95.78,0.000000,17.611665,18.825307,37.470336
utility_only,non_symmetric,1.0,1.0,margin,top50,8,40,6,3.235396,96.02,0.000000,17.604233,18.825307,37.181763
utility_only,non_symmetric,1.0,1.0,margin,top50,8,40,7,3.131548,95.60,0.000000,18.868014,18.825307,38.230515
utility_only,non_symmetric,1.0,1.0,margin,top50,8,40,8,3.065790,95.00,0.000000,19.495647,18.825307,39.131480
utility_only,non_symmetric,1.0,1.0,margin,top50,8,40,9,2.845272,95.56,0.000000,19.604875,18.825307,39.268442
utility_only,non_symmetric,1.0,1.0,margin,top50,8,40,10,2.724374,96.50,0.000000,20.145976,18.825307,39.311155
utility_only,non_symmetric,1.0,1.0,margin,top50,8,40,11,2.703883,96.30,0.000000,21.281517,18.825307,39.671850
utility_only,non_symmetric,1.0,1.0,margin,top50,8,40,12,2.671177,96.54,0.000000,21.459231,18.825307,39.739683
utility_only,non_symmetric,1.0,1.0,margin,top50,8,40,13,2.752442,95.56,0.000000,21.638050,18.825307,39.882026
