mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,generation,mean_fitness,mean_accuracy,mean_error_chance,mean_error_utility,mean_entropy_norm,mean_util_dev
both,non_symmetric,1.0,1.0,margin,top50,2,10,16,1.217885,56.06,1.639454,16.813942,7.313429,34.089831
both,non_symmetric,1.0,1.0,margin,top50,2,10,17,1.461171,55.58,1.665968,17.364113,7.034036,34.062849
both,non_symmetric,1.0,1.0,margin,top50,2,10,18,1.302601,55.42,1.685260,17.213104,6.949784,34.098262
both,non_symmetric,1.0,1.0,margin,top50,2,10,19,1.410603,56.44,1.639594,17.793991,6.933110,34.502300
both,non_symmetric,1.0,1.0,margin,top50,2,10,20,1.229054,55.52,1.660067,18.384378,6.750261,34.801723
both,non_symmetric,1.0,1.0,margin,top50,2,10,21,1.498620,55.46,1.680405,18.909509,6.703289,34.347299
both,non_symmetric,1.0,1.0,margin,top50,2,10,22,1.131208,55.76,1.671995,18.791420,6.633505,34.355521
both,non_symmetric,1.0,1.0,margin,top50,8,40,1,14.285647,51.34,1.510391,18.699708,11.663199,36.743727
both,non_symmetric,1.0,1.0,margin,top50,8,40,2,11.629877,51.34,1.432847,16.327887,13.166163,32.866775
both,non_symmetric,1.0,1.0,margin,top50,8,40,3,10.850443,53.58,1.382741,15.576764,12.801119,32.023369
both,non_symmetric,1.0,1.0,margin,top50,8,40,4,10.052124,54.90,1.450254,14.749646,12.186236,31.620159
both,non_symmetric,1.0,1.0,margin,top50,8,40,5,9.911889,56.60,1.512432,14.594106,11.173817,31.734274
both,non_symmetric,1.0,1.0,margin,top50,8,40,6,10.438619,56.10,1.509275,14.074918,10.636208,31.121049
both,non_symmetric,1.0,1.0,margin,top50,8,40,7,9.002792,58.04,1.491459,14.571323,10.028629,31.938350
both,non_symmetric,1.0,1.0,margin,top50,8,40,8,8.423363,59.26,1.520716,14.992523,9.757841,31.423845
both,non_symmetric,1.0,1.0,margin,top50,8,40,9,8.500572,59.20,1.506849,15.880368,9.165177,31.810734
both,non_symmetric,1.0,1.0,margin,top50,8,40,10,8.520065,59.28,1.549428,15.451882,8.841549,31.868882
both,non_symmetric,1.0,1.0,margin,top50,8,40,11,8.695594,60.42,1.584793,16.722839,8.042650,32.815935
both,non_symmetric,1.0,1.0,margin,top50,8,40,12,8.754209,59.84,1.565374,16.977195,7.615143,33.174781
both,non_symmetric,1.0,1.0,margin,top50,8,40,13,8.594974,61.68,1.583991,17.282792,7.115455,33.536089
both,non_symmetric,1.0,1.0,margin,top50,8,40,14,7.961866,64.16,1.634924,17.212739,6.398194,33.801769
both,non_symmetric,1.0,1.0,margin,top50,8,40,15,8.346597,63.14,1.613676,17.507398,5.809281,34.090309
both,non_symmetric,1.0,1.0,margin,top50,8,40,16,8.673866,64.12,1.630985,16.955060,5.418688,33.772050
both,non_symmetric,1.0,1.0,margin,top50,8,40,17,9.151452,64.64,1.684124,17.014819,4.838188,33.935027
both,non_symmetric,1.0,1.0,margin,top50,8,40,18,8.220987,65.52,1.709699,17.865527,4.407381,33.683786
both,non_symmetric,1.0,1.0,margin,top50,8,40,19,8.902558,65.50,1.658506,18.557670,4.337760,34.778286
both,non_symmetric,1.0,1.0,margin,top50,8,40,20,8.630795,66.58,1.749916,18.162113,4.162526,34.042829
both,non_symmetric,1.0,1.0,margin,top50,8,40,21,7.939532,67.96,1.741058,17.744938,3.947169,33.149235
both,non_symmetric,1.0,1.0,margin,top50,8,40,22,8.464101,66.86,1.757663,18.058257,3.773795,34.554611
both,non_symmetric,1.0,1.0,margin,top50,8,40,23,7.432307,67.34,1.801893,17.941953,3.570151,34.501647
both,non_symmetric,1.0,1.0,margin,top50,8,40,24,7.572506,69.58,1.840230,18.690477,3.380393,35.539706
both,non_symmetric,1.0,1.0,margin,top50,8,40,25,7.497965,69.30,1.829681,18.561903,3.417788,36.273779
both,non_symmetric,1.0,1.0,margin,top50,8,40,26,7.612973,68.76,1.858983,18.174138,3.307593,36.499434
both,non_symmetric,1.0,1.0,margin,top50,8,40,27,8.099016,69.28,1.858787,17.802768,3.286572,36.836899
both,non_symmetric,1.0,1.0,margin,top50,8,40,28,7.303497,69.48,1.854446,18.303202,3.230468,36.495800
both,non_symmetric,1.0,1.0,regret,top50,2,10,1,2.294105,51.34,1.510391,18.699708,11.663199,36.743727
both,non_symmetric,1.0,1.0,regret,top50,2,10,2,1.586591,50.66,1.474256,16.376230,12.820339,33.938819
both,non_symmetric,1.0,1.0,regret,top50,2,10,3,1.624502,49.50,1.507735,15.238712,12.955664,31.882737
both,non_symmetric,1.0,1.0,regret,top50,2,10,4,1.472968,49.86,1.481519,14.989252,12.281402,31.350392
both,non_symmetric,1.0,1.0,regret,top50,2,10,5,1.111677,51.60,1.477339,14.633918,11.829508,32.086542
both,non_symmetric,1.0,1.0,regret,top50,2,10,6,1.135808,53.08,1.492640,14.250744,11.512808,32.116539
both,non_symmetric,1.0,1.0,regret,top50,2,10,7,1.127994,52.54,1.522850,14.063205,11.234507,32.375031
both,non_symmetric,1.0,1.0,regret,top50,2,10,8,0.966358,52.08,1.542074,13.879370,11.113967,31.921802
both,non_symmetric,1.0,1.0,regret,top50,2,10,9,0.991898,51.72,1.544041,13.682066,10.858497,32.022181
both,non_symmetric,1.0,1.0,regret,top50,2,10,10,0.948483,52.46,1.549137,13.920929,10.587823,32.163674
both,non_symmetric,1.0,1.0,regret,top50,2,10,11,0.956396,52.08,1.561044,14.068827,10.376849,32.357136
both,non_symmetric,1.0,1.0,regret,top50,2,10,12,0.962216,51.52,1.594664,13.879077,10.213581,32.144482
both,non_symmetric,1.0,1.0,regret,top50,2,10,13,0.987345,52.08,1.562283,14.242774,10.049389,32.122215
both,non_symmetric,1.0,1.0,regret,top50,2,10,14,1.137004,52.24,1.645076,14.635677,9.887964,32.493381
both,non_symmetric,1.0,1.0,binary,top50,1,5,1,0.508000,51.34,1.510391,18.699708,11.663199,36.743727
both,non_symmetric,1.0,1.0,binary,top50,1,5,2,0.400000,52.54,1.481333,17.177551,12.453991,34.423515
both,non_symmetric,1.0,1.0,binary,top50,4,20,1,1.904000,51.34,1.510391,18.699708,11.663199,36.743727
both,non_symmetric,1.0,1.0,binary,top50,4,20,2,1.816000,51.92,1.447689,15.437107,13.213944,32.445862
both,non_symmetric,1.0,1.0,binary,top50,4,20,3,1.624000,53.68,1.426477,15.666673,13.249929,31.214077
both,non_symmetric,1.0,1.0,binary,top50,4,20,4,1.564000,52.86,1.476942,15.763205,12.461778,31.806809
both,non_symmetric,1.0,1.0,binary,top50,4,20,5,1.444000,53.06,1.527383,15.716563,11.812631,31.266476
both,non_symmetric,1.0,1.0,binary,top50,4,20,6,1.336000,54.06,1.496546,16.197112,11.065532,31.450530
both,non_symmetric,1.0,1.0,binary,top50,4,20,7,1.124000,55.60,1.579969,16.635696,10.394547,32.354323
both,non_symmetric,1.0,1.0,binary,top50,4,20,8,1.156000,55.60,1.588920,17.935824,9.704675,32.934689
both,non_symmetric,1.0,1.0,binary,top50,4,20,9,1.084000,56.08,1.612854,18.047096,9.252478,33.884529
both,non_symmetric,1.0,1.0,binary,top50,4,20,10,0.796000,58.02,1.648877,18.253188,8.479306,34.175871
both,non_symmetric,1.0,1.0,binary,top50,4,20,11,0.948000,57.54,1.663778,18.106125,8.230134,34.421810
both,non_symmetric,1.0,1.0,binary,top50,4,20,12,0.876000,57.82,1.700849,17.919510,7.871983,34.343778
both,non_symmetric,1.0,1.0,binary,top50,4,20,13,0.868000,58.88,1.716978,17.853580,7.606919,34.287064
both,non_symmetric,1.0,1.0,binary,top50,4,20,14,0.880000,58.80,1.745669,18.458780,7.340296,34.637334
both,non_symmetric,1.0,1.0,binary,top50,4,20,15,0.884000,58.04,1.764977,18.786248,6.962413,34.958178
both,non_symmetric,1.0,1.0,binary,top50,4,20,16,0.824000,58.62,1.766790,18.710190,6.860283,35.482204
both,non_symmetric,1.0,1.0,binary,top50,4,20,17,0.844000,59.04,1.765419,18.847803,6.682953,35.941403
both,non_symmetric,1.0,1.0,binary,top50,4,20,18,0.852000,59.66,1.773314,18.803044,6.551020,35.906051
both,non_symmetric,1.0,1.0,binary,top50,4,20,19,0.776000,59.92,1.773978,19.288831,6.517914,35.693491
both,non_symmetric,1.0,1.0,binary,top50,4,20,20,0.708000,60.22,1.750970,19.223995,6.452307,35.682077
both,non_symmetric,1.0,1.0,binary,top50,4,20,21,0.692000,60.42,1.769192,19.159247,6.396684,35.743349
both,non_symmetric,1.0,1.0,binary,top50,4,20,22,0.652000,61.52,1.722085,18.916758,6.386933,35.999623
both,non_symmetric,1.0,1.0,margin,top50,1,5,1,1.896112,51.34,1.510391,18.699708,11.663199,36.743727
both,non_symmetric,1.0,1.0,margin,top50,1,5,2,1.415183,51.22,1.466753,16.736185,13.217613,33.036377
both,non_symmetric,1.0,1.0,margin,top50,1,5,3,1.026407,50.16,1.461534,15.760632,13.077183,31.755775
both,non_symmetric,1.0,1.0,margin,top50,1,5,4,0.766077,50.12,1.477692,14.740251,13.067130,31.463078
both,non_symmetric,1.0,1.0,margin,top50,1,5,5,0.738803,51.64,1.488816,15.068446,12.799133,31.515160
both,non_symmetric,1.0,1.0,margin,top50,1,5,6,0.721144,52.04,1.516890,15.241996,12.537916,31.674412
