fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,stop_gen_mean,stop_gen_std,stop_gen_min,stop_gen_max,generation,mean_fitness,mean_accuracy,mean_error,fitness_std,accuracy_std
softmax,top30,1,5,,,,,41,0.000045,60.62,23.588778,0.000000,11.71
softmax,top30,1,5,,,,,42,0.000045,61.07,23.791732,0.000000,10.36
softmax,top30,1,5,,,,,43,0.000045,61.18,23.966920,0.000000,9.25
softmax,top30,1,5,,,,,44,0.000045,61.51,23.963703,0.000000,10.31
softmax,top30,1,5,,,,,45,0.000045,62.08,24.151283,0.000000,10.94
softmax,top30,1,5,,,,,46,0.000045,62.72,24.364323,0.000000,9.95
softmax,top30,1,5,,,,,47,0.000045,62.24,24.373345,0.000000,10.15
softmax,top30,1,5,,,,,48,0.000045,63.02,24.459740,0.000000,10.06
softmax,top30,1,5,,,,,49,0.000045,62.25,24.587798,0.000000,9.85
softmax,top30,1,5,,,,,50,0.000045,61.99,24.750760,0.000000,9.68
softmax,top30,1,5,,,,,51,0.000045,62.28,24.818089,0.000000,9.00
softmax,top30,1,5,,,,,52,0.000045,61.38,25.155069,0.000000,9.13
softmax,top30,1,5,,,,,53,0.000045,61.50,25.252683,0.000000,10.07
softmax,top30,1,5,,,,,54,0.000045,61.77,25.395450,0.000000,9.01
softmax,top30,1,5,,,,,55,0.000045,61.66,25.679883,0.000000,10.25
softmax,top30,1,5,,,,,56,0.000045,61.38,25.711635,0.000000,11.08
softmax,top30,1,5,,,,,57,0.000045,61.00,25.777477,0.000000,10.95
softmax,top30,1,5,,,,,58,0.000045,61.65,25.713850,0.000000,12.00
softmax,top30,1,5,,,,,59,0.000045,62.15,25.594220,0.000000,10.92
softmax,top30,1,5,,,,,60,0.000045,62.72,25.626634,0.000000,11.27
softmax,top30,1,5,,,,,61,0.000045,63.04,25.610333,0.000000,10.07
softmax,top30,1,5,,,,,62,0.000045,63.09,25.780248,0.000000,10.92
softmax,top30,1,5,,,,,63,0.000045,63.21,25.923092,0.000000,9.43
softmax,top30,1,5,,,,,64,0.000045,63.53,25.965548,0.000000,10.53
softmax,top30,1,5,,,,,65,0.000045,62.74,25.923980,0.000000,10.72
softmax,top30,1,5,,,,,66,0.000045,62.04,25.650144,0.000000,11.37
softmax,top30,1,5,,,,,67,0.000045,60.98,25.645912,0.000000,11.27
softmax,top30,1,5,,,,,68,0.000045,61.37,25.666788,0.000000,11.05
softmax,top30,1,5,,,,,69,0.000045,62.61,25.606991,0.000000,11.63
softmax,top30,1,5,,,,,70,0.000045,62.24,25.578316,0.000000,12.93
softmax,top30,1,5,,,,,71,0.000045,62.22,25.636047,0.000000,12.67
softmax,top30,1,5,,,,,72,0.000045,62.20,25.573006,0.000000,12.87
softmax,top30,1,5,,,,,73,0.000045,61.98,25.588111,0.000000,13.35
softmax,top30,1,5,,,,,74,0.000045,61.81,25.667048,0.000000,13.64
softmax,top30,1,5,,,,,75,0.000045,61.21,25.659162,0.000000,13.76
softmax,top30,1,5,,,,,76,0.000045,61.23,25.477792,0.000000,13.37
softmax,top30,1,5,,,,,77,0.000045,61.74,25.580458,0.000000,13.46
softmax,top30,1,5,,,,,78,0.000045,61.44,25.578860,0.000000,13.16
softmax,top30,1,5,,,,,79,0.000045,61.75,25.524744,0.000000,13.07
softmax,top30,1,5,,,,,80,0.000045,61.46,25.555990,0.000000,13.33
softmax,top30,1,5,,,,,81,0.000045,61.90,25.687035,0.000000,14.25
softmax,top30,1,5,,,,,82,0.000045,62.28,25.654319,0.000000,14.07
softmax,top30,1,5,,,,,83,0.000045,61.71,25.572998,0.000000,14.82
softmax,top30,1,5,,,,,84,0.000045,62.53,25.659461,0.000000,13.99
softmax,top30,1,5,,,,,85,0.000045,62.30,25.563006,0.000000,13.77
softmax,top30,1,5,,,,,86,0.000045,62.75,25.665415,0.000000,14.38
softmax,top30,1,5,,,,,87,0.000045,62.53,25.598615,0.000000,13.79
softmax,top30,1,5,,,,,88,0.000045,62.00,25.538805,0.000000,13.87
softmax,top30,1,5,,,,,89,0.000045,62.25,25.576796,0.000000,13.54
softmax,top30,1,5,,,,,90,0.000045,62.48,25.470912,0.000000,13.35
softmax,top30,1,5,,,,,91,0.000045,62.13,25.587123,0.000000,12.94
softmax,top30,1,5,,,,,92,0.000045,61.63,25.547307,0.000000,13.21
softmax,top30,1,5,,,,,93,0.000045,62.57,25.580879,0.000000,12.78
softmax,top30,1,5,,,,,94,0.000045,63.12,25.699009,0.000000,11.86
softmax,top30,1,5,,,,,95,0.000045,62.73,25.868924,0.000000,11.63
softmax,top30,1,5,,,,,96,0.000045,62.78,25.855139,0.000000,11.52
softmax,top30,1,5,,,,,97,0.000045,62.98,25.839001,0.000000,11.04
softmax,top30,1,5,,,,,98,0.000045,62.81,25.817109,0.000000,11.00
softmax,top30,1,5,,,,,99,0.000045,62.93,25.750886,0.000000,11.14
softmax,top30,1,5,,,,,100,0.000045,63.56,25.741481,0.000000,10.52
softmax,top30,2,10,,,,,1,2.884042,49.56,22.634704,0.157808,1.39
softmax,top30,2,10,,,,,2,2.584886,52.01,20.924075,0.451912,1.98
softmax,top30,2,10,,,,,3,2.034330,51.95,20.888920,0.413680,1.72
softmax,top30,2,10,,,,,4,2.189338,54.19,19.860598,0.424227,2.28
softmax,top30,2,10,,,,,5,1.512592,55.34,19.530905,0.389278,0.40
softmax,top30,2,10,,,,,6,1.121083,54.93,18.829998,0.449051,1.61
softmax,top30,2,10,,,,,7,0.874683,57.17,18.968539,0.471437,2.27
softmax,top30,2,10,,,,,8,0.553761,58.08,18.709894,0.334136,3.37
softmax,top30,2,10,,,,,9,0.415486,57.94,19.559801,0.372657,1.82
softmax,top30,2,10,,,,,10,0.267474,59.19,19.792611,0.326108,2.41
softmax,top30,2,10,,,,,11,0.184568,59.60,20.215142,0.261951,2.93
softmax,top30,2,10,,,,,12,0.177803,60.22,20.744044,0.300910,2.87
softmax,top30,2,10,,,,,13,0.085967,61.62,20.914075,0.158948,3.18
softmax,top30,2,10,,,,,14,0.089098,61.52,21.448885,0.174686,3.22
softmax,top30,2,10,,,,,15,0.083135,61.47,22.300730,0.165623,3.43
softmax,top30,2,10,,,,,16,0.054481,61.39,23.063690,0.108594,3.38
softmax,top30,2,10,,,,,17,0.050218,60.89,23.021373,0.099905,2.70
softmax,top30,2,10,,,,,18,0.032161,60.39,23.216075,0.064117,2.24
softmax,top30,2,10,,,,,19,0.031616,59.80,23.436202,0.063037,2.88
softmax,top30,2,10,,,,,20,0.024431,59.22,23.315788,0.048672,4.11
softmax,top30,2,10,,,,,21,0.015784,59.37,23.814511,0.031381,3.36
softmax,top30,2,10,,,,,22,0.030733,58.17,24.524156,0.061279,2.75
softmax,top30,2,10,,,,,23,0.007412,56.38,24.412155,0.014639,3.76
softmax,top30,2,10,,,,,24,0.007745,57.46,24.945580,0.015306,4.00
softmax,top30,2,10,,,,,25,0.004595,57.36,25.360292,0.009006,3.02
softmax,top30,2,10,,,,,26,0.003895,57.23,25.518287,0.007607,2.45
softmax,top30,2,10,,,,,27,0.001184,56.42,26.087260,0.002185,2.76
softmax,top30,2,10,,,,,28,0.000571,56.70,26.589355,0.000960,1.92
softmax,top30,2,10,,,,,29,0.000319,56.29,26.748443,0.000455,2.60
softmax,top30,2,10,,,,,30,0.000160,55.59,27.054878,0.000137,3.11
softmax,top30,2,10,,,,,31,0.000136,55.67,27.359270,0.000089,3.31
softmax,top30,2,10,,,,,32,0.000111,56.13,27.644469,0.000040,3.85
softmax,top30,2,10,,,,,33,0.000103,55.97,27.977850,0.000024,4.08
softmax,top30,2,10,,,,,34,0.000100,55.54,27.866302,0.000019,4.68
softmax,top30,2,10,,,,,35,0.000098,55.39,28.187134,0.000014,4.91
softmax,top30,2,10,,,,,36,0.000096,55.22,28.194534,0.000011,3.42
softmax,top30,2,10,,,,,37,0.000096,55.96,28.108514,0.000010,4.04
softmax,top30,2,10,,,,,38,0.000095,55.93,28.093146,0.000008,4.15
softmax,top30,2,10,,,,,39,0.000094,54.64,27.702786,0.000007,4.02
softmax,top30,2,10,,,,,40,0.000093,54.91,27.653863,0.000005,3.96
softmax,top30,2,10,,,,,41,0.000093,54.79,27.717737,0.000004,3.94
softmax,top30,2,10,,,,,42,0.000093,55.80,27.855923,0.000003,2.74
softmax,top30,2,10,,,,,43,0.000092,56.51,27.752385,0.000003,2.35
softmax,top30,2,10,,,,,44,0.000092,55.90,27.525749,0.000002,2.24
softmax,top30,2,10,,,,,45,0.000092,55.65,27.625289,0.000002,1.93
softmax,top30,2,10,,,,,46,0.000092,55.25,27.500424,0.000002,2.33
softmax,top30,2,10,,,,,47,0.000091,55.71,27.509899,0.000001,2.15
softmax,top30,2,10,,,,,48,0.000091,55.12,27.602783,0.000001,2.48
softmax,top30,2,10,,,,,49,0.000091,55.97,27.637017,0.000001,2.51
softmax,top30,2,10,,,,,50,0.000091,56.08,27.473632,0.000001,2.24
softmax,top30,2,10,,,,,51,0.000091,55.44,27.584869,0.000001,2.73
softmax,top30,2,10,,,,,52,0.000091,54.70,27.487863,0.000001,2.59
softmax,top30,2,10,,,,,53,0.000091,54.12,27.294227,0.000000,3.08
softmax,top30,2,10,,,,,54,0.000091,53.33,27.209100,0.000000,2.95
softmax,top30,2,10,,,,,55,0.000091,53.14,27.060452,0.000000,2.92
softmax,top30,2,10,,,,,56,0.000091,53.41,27.047159,0.000000,3.71
softmax,top30,2,10,,,,,57,0.000091,52.54,27.193226,0.000000,3.37
softmax,top30,2,10,,,,,58,0.000091,53.54,27.354853,0.000000,2.39
softmax,top30,2,10,,,,,59,0.000091,53.16,27.256478,0.000000,2.96
softmax,top30,2,10,,,,,60,0.000091,53.45,27.544929,0.000000,2.68
softmax,top30,2,10,,,,,61,0.000091,53.89,27.469757,0.000000,2.95
softmax,top30,2,10,,,,,62,0.000091,53.83,27.411472,0.000000,3.48
softmax,top30,2,10,,,,,63,0.000091,53.36,27.275306,0.000000,3.93
softmax,top30,2,10,,,,,64,0.000091,53.57,27.195868,0.000000,3.26
softmax,top30,2,10,,,,,65,0.000091,52.53,27.133841,0.000000,2.94
softmax,top30,2,10,,,,,66,0.000091,53.51,27.099790,0.000000,3.80
softmax,top30,2,10,,,,,67,0.000091,53.37,27.194616,0.000000,4.01
softmax,top30,2,10,,,,,68,0.000091,53.67,27.264881,0.000000,2.78
softmax,top30,2,10,,,,,69,0.000091,54.17,27.152080,0.000000,4.67
softmax,top30,2,10,,,,,70,0.000091,53.85,27.048723,0.000000,4.92
softmax,top30,2,10,,,,,71,0.000091,53.70,26.938823,0.000000,5.16
softmax,top30,2,10,,,,,72,0.000091,53.76,27.026319,0.000000,4.87
softmax,top30,2,10,,,,,73,0.000091,54.29,27.070228,0.000000,5.39
softmax,top30,2,10,,,,,74,0.000091,53.52,27.222862,0.000000,5.44
softmax,top30,2,10,,,,,75,0.000091,53.90,27.098823,0.000000,5.79
softmax,top30,2,10,,,,,76,0.000091,53.58,27.136787,0.000000,6.05
softmax,top30,2,10,,,,,77,0.000091,53.75,26.934502,0.000000,5.09
softmax,top30,2,10,,,,,78,0.000091,53.02,26.947698,0.000000,4.89
softmax,top30,2,10,,,,,79,0.000091,53.78,26.887366,0.000000,5.05
softmax,top30,2,10,,,,,80,0.000091,53.23,26.763288,0.000000,5.27
softmax,top30,2,10,,,,,81,0.000091,52.80,26.726437,0.000000,5.36
softmax,top30,2,10,,,,,82,0.000091,53.20,26.722417,0.000000,5.55
softmax,top30,2,10,,,,,83,0.000091,52.49,26.688971,0.000000,5.67
softmax,top30,2,10,,,,,84,0.000091,53.48,26.653422,0.000000,6.46
softmax,top30,2,10,,,,,85,0.000091,53.47,26.611018,0.000000,6.89
softmax,top30,2,10,,,,,86,0.000091,53.15,26.604098,0.000000,6.14
softmax,top30,2,10,,,,,87,0.000091,53.74,26.682884,0.000000,5.70
softmax,top30,2,10,,,,,88,0.000091,53.48,26.680934,0.000000,6.50
softmax,top30,2,10,,,,,89,0.000091,52.37,26.752687,0.000000,6.46
softmax,top30,2,10,,,,,90,0.000091,52.79,26.773483,0.000000,5.85
softmax,top30,2,10,,,,,91,0.000091,52.82,26.789653,0.000000,6.17
softmax,top30,2,10,,,,,92,0.000091,52.38,26.760813,0.000000,6.69
softmax,top30,2,10,,,,,93,0.000091,52.21,26.621092,0.000000,7.45
softmax,top30,2,10,,,,,94,0.000091,51.81,26.631791,0.000000,6.90
softmax,top30,2,10,,,,,95,0.000091,51.80,26.679388,0.000000,6.23
softmax,top30,2,10,,,,,96,0.000091,51.94,26.738779,0.000000,6.26
softmax,top30,2,10,,,,,97,0.000091,51.29,26.792727,0.000000,6.42
softmax,top30,2,10,,,,,98,0.000091,51.91,26.764157,0.000000,6.35
softmax,top30,2,10,,,,,99,0.000091,51.69,26.779767,0.000000,6.17
softmax,top30,2,10,,,,,100,0.000091,51.81,26.748891,0.000000,6.02
softmax,top30,4,20,,,,,1,5.894446,51.03,22.970214,0.410161,1.23
softmax,top30,4,20,,,,,2,5.213242,52.96,21.184130,0.381191,1.11
softmax,top30,4,20,,,,,3,4.675412,52.31,21.380907,0.411549,1.17
softmax,top30,4,20,,,,,4,4.441924,53.42,21.230427,0.345872,1.18
softmax,top30,4,20,,,,,5,4.203406,54.84,20.954825,0.722071,2.24
softmax,top30,4,20,,,,,6,3.554796,55.91,20.679605,0.515374,2.55
softmax,top30,4,20,,,,,7,2.999033,58.39,21.622957,0.718013,1.75
softmax,top30,4,20,,,,,8,2.481479,60.15,21.267844,0.855162,1.61
softmax,top30,4,20,,,,,9,2.072977,61.59,21.015413,0.977376,3.26
softmax,top30,4,20,,,,,10,1.430826,64.17,21.133236,0.688641,3.00
softmax,top30,4,20,,,,,11,1.232602,65.80,20.615109,0.660150,3.15
softmax,top30,4,20,,,,,12,0.834394,66.21,21.137387,0.565419,3.13
softmax,top30,4,20,,,,,13,0.508435,67.06,20.801980,0.569007,3.05
softmax,top30,4,20,,,,,14,0.363894,67.64,20.834939,0.441079,3.33
softmax,top30,4,20,,,,,15,0.286148,69.53,20.879251,0.391440,4.02
softmax,top30,4,20,,,,,16,0.174779,69.24,20.827485,0.277179,3.98
softmax,top30,4,20,,,,,17,0.166064,68.85,21.441661,0.290523,3.83
softmax,top30,4,20,,,,,18,0.099763,70.04,21.404741,0.170353,3.51
softmax,top30,4,20,,,,,19,0.064278,70.42,21.836795,0.117770,4.95
softmax,top30,4,20,,,,,20,0.057117,69.57,21.778855,0.111521,5.46
softmax,top30,4,20,,,,,21,0.024596,68.71,22.068253,0.044569,5.35
softmax,top30,4,20,,,,,22,0.019788,68.52,22.121750,0.036775,4.85
softmax,top30,4,20,,,,,23,0.009210,68.89,22.532157,0.017514,5.28
softmax,top30,4,20,,,,,24,0.005620,68.78,22.500222,0.009462,5.53
softmax,top30,4,20,,,,,25,0.002182,69.27,22.532679,0.003739,6.55
softmax,top30,4,20,,,,,26,0.000585,68.99,23.125529,0.000679,7.68
softmax,top30,4,20,,,,,27,0.000406,68.07,23.224414,0.000327,7.95
softmax,top30,4,20,,,,,28,0.000881,68.17,23.387119,0.001324,8.16
softmax,top30,4,20,,,,,29,0.000324,68.61,23.813634,0.000201,8.81
softmax,top30,4,20,,,,,30,0.000247,68.56,24.158798,0.000081,8.35
softmax,top30,4,20,,,,,31,0.000236,68.27,24.176683,0.000072,9.18
softmax,top30,4,20,,,,,32,0.000223,68.88,24.423755,0.000048,10.01
softmax,top30,4,20,,,,,33,0.000220,69.07,24.541661,0.000047,10.31
softmax,top30,4,20,,,,,34,0.000205,68.80,24.254896,0.000025,10.34
softmax,top30,4,20,,,,,35,0.000202,68.45,24.178449,0.000022,10.60
softmax,top30,4,20,,,,,36,0.000198,67.45,24.539900,0.000018,10.40
softmax,top30,4,20,,,,,37,0.000195,67.62,24.784731,0.000014,10.48
softmax,top30,4,20,,,,,38,0.000192,68.07,24.724979,0.000011,10.46
softmax,top30,4,20,,,,,39,0.000190,67.56,24.779403,0.000009,9.71
softmax,top30,4,20,,,,,40,0.000189,68.11,24.925008,0.000008,9.33
softmax,top30,4,20,,,,,41,0.000188,68.25,24.877990,0.000006,8.96
softmax,top30,4,20,,,,,42,0.000187,67.76,25.040719,0.000005,9.03
softmax,top30,4,20,,,,,43,0.000186,67.76,25.133310,0.000004,8.84
softmax,top30,4,20,,,,,44,0.000185,67.78,25.083837,0.000004,8.95
softmax,top30,4,20,,,,,45,0.000185,67.83,25.105594,0.000003,8.90
softmax,top30,4,20,,,,,46,0.000184,67.74,25.088137,0.000003,9.03
softmax,top30,4,20,,,,,47,0.000184,66.59,25.105568,0.000002,8.37
softmax,top30,4,20,,,,,48,0.000184,67.82,25.220334,0.000002,9.07
softmax,top30,4,20,,,,,49,0.000183,65.50,25.214722,0.000002,8.51
softmax,top30,4,20,,,,,50,0.000183,65.29,25.266854,0.000002,8.31
softmax,top30,4,20,,,,,51,0.000183,65.01,25.282156,0.000001,8.47
softmax,top30,4,20,,,,,52,0.000183,64.51,25.260915,0.000001,8.10
softmax,top30,4,20,,,,,53,0.000183,65.86,25.300605,0.000001,8.62
softmax,top30,4,20,,,,,54,0.000182,65.12,25.393396,0.000001,8.31
softmax,top30,4,20,,,,,55,0.000182,64.30,25.461221,0.000001,7.91
softmax,top30,4,20,,,,,56,0.000182,64.03,25.428834,0.000001,7.43
softmax,top30,4,20,,,,,57,0.000182,64.16,25.470257,0.000001,7.34
softmax,top30,4,20,,,,,58,0.000182,63.93,25.476061,0.000000,8.25
softmax,top30,4,20,,,,,59,0.000182,64.16,25.391642,0.000000,8.01
softmax,top30,4,20,,,,,60,0.000182,64.94,25.350075,0.000000,8.10
softmax,top30,4,20,,,,,61,0.000182,63.95,25.355125,0.000000,8.01
softmax,top30,4,20,,,,,62,0.000182,65.00,25.452773,0.000000,8.24
softmax,top30,4,20,,,,,63,0.000182,64.73,25.377459,0.000000,7.21
softmax,top30,4,20,,,,,64,0.000182,65.56,25.410061,0.000000,7.38
softmax,top30,4,20,,,,,65,0.000182,65.25,25.410562,0.000000,6.86
softmax,top30,4,20,,,,,66,0.000182,64.69,25.359964,0.000000,6.43
softmax,top30,4,20,,,,,67,0.000182,64.28,25.403662,0.000000,6.57
softmax,top30,4,20,,,,,68,0.000182,63.67,25.369221,0.000000,6.37
softmax,top30,4,20,,,,,69,0.000182,63.90,25.362579,0.000000,5.66
softmax,top30,4,20,,,,,70,0.000182,64.30,25.406328,0.000000,5.66
softmax,top30,4,20,,,,,71,0.000182,64.24,25.382949,0.000000,5.74
softmax,top30,4,20,,,,,72,0.000182,64.02,25.336284,0.000000,5.84
softmax,top30,4,20,,,,,73,0.000182,63.57,25.492440,0.000000,6.33
softmax,top30,4,20,,,,,74,0.000182,63.35,25.533032,0.000000,5.45
softmax,top30,4,20,,,,,75,0.000182,63.60,25.535516,0.000000,6.20
softmax,top30,4,20,,,,,76,0.000182,63.02,25.621847,0.000000,6.38
softmax,top30,4,20,,,,,77,0.000182,63.34,25.616200,0.000000,5.78
softmax,top30,4,20,,,,,78,0.000182,62.64,25.661279,0.000000,5.24
softmax,top30,4,20,,,,,79,0.000182,62.29,25.692344,0.000000,4.49
softmax,top30,4,20,,,,,80,0.000182,62.33,25.748015,0.000000,5.31
softmax,top30,4,20,,,,,81,0.000182,62.59,25.696066,0.000000,5.73
softmax,top30,4,20,,,,,82,0.000182,62.26,25.617859,0.000000,6.07
softmax,top30,4,20,,,,,83,0.000182,61.48,25.661450,0.000000,6.38
softmax,top30,4,20,,,,,84,0.000182,61.68,25.673225,0.000000,6.35
softmax,top30,4,20,,,,,85,0.000182,62.10,25.712392,0.000000,6.87
softmax,top30,4,20,,,,,86,0.000182,62.22,25.753242,0.000000,6.50
softmax,top30,4,20,,,,,87,0.000182,62.69,25.732110,0.000000,7.60
softmax,top30,4,20,,,,,88,0.000182,62.14,25.633097,0.000000,6.65
softmax,top30,4,20,,,,,89,0.000182,63.34,25.694390,0.000000,6.09
softmax,top30,4,20,,,,,90,0.000182,63.19,25.655818,0.000000,6.07
softmax,top30,4,20,,,,,91,0.000182,62.72,25.615782,0.000000,6.12
softmax,top30,4,20,,,,,92,0.000182,62.80,25.758722,0.000000,6.59
softmax,top30,4,20,,,,,93,0.000182,63.26,25.727174,0.000000,6.90
softmax,top30,4,20,,,,,94,0.000182,63.65,25.689721,0.000000,7.49
softmax,top30,4,20,,,,,95,0.000182,63.71,25.589903,0.000000,7.43
softmax,top30,4,20,,,,,96,0.000182,63.39,25.580958,0.000000,7.75
softmax,top30,4,20,,,,,97,0.000182,64.32,25.644723,0.000000,6.67
softmax,top30,4,20,,,,,98,0.000182,63.25,25.623237,0.000000,7.38
softmax,top30,4,20,,,,,99,0.000182,64.15,25.569137,0.000000,7.69
softmax,top30,4,20,,,,,100,0.000182,64.51,25.558629,0.000000,8.43
softmax,top30,6,30,,,,,1,9.081255,49.40,22.734593,0.329438,1.07
softmax,top30,6,30,,,,,2,7.506807,51.04,21.739827,0.659093,1.31
softmax,top30,6,30,,,,,3,7.888145,51.18,21.458881,0.553715,1.85
softmax,top30,6,30,,,,,4,7.574991,51.79,21.310723,0.519709,1.24
softmax,top30,6,30,,,,,5,6.596464,52.93,20.877883,0.432838,1.46
softmax,top30,6,30,,,,,6,5.889263,53.71,20.540916,0.543494,1.24
softmax,top30,6,30,,,,,7,5.729064,54.06,20.321404,0.874798,1.25
softmax,top30,6,30,,,,,8,5.061099,55.69,19.999300,0.661877,2.66
softmax,top30,6,30,,,,,9,4.258878,58.60,19.836492,0.750389,2.69
softmax,top30,6,30,,,,,10,3.706329,59.38,19.528104,0.928521,3.62
softmax,top30,6,30,,,,,11,3.172549,59.92,19.802208,0.717233,2.78
softmax,top30,6,30,,,,,12,2.447678,61.05,19.976938,0.864070,3.39
softmax,top30,6,30,,,,,13,1.879404,63.30,19.771573,0.827495,2.94
softmax,top30,6,30,,,,,14,1.508071,65.00,20.322436,0.741230,3.63
softmax,top30,6,30,,,,,15,1.188126,65.81,20.521701,0.681723,4.90
softmax,top30,6,30,,,,,16,0.849575,67.26,20.840244,0.543589,4.34
softmax,top30,6,30,,,,,17,0.553576,67.60,21.513454,0.350525,4.54
softmax,top30,6,30,,,,,18,0.312168,68.80,22.331058,0.232612,4.26
softmax,top30,6,30,,,,,19,0.229297,69.58,22.610011,0.177316,5.84
softmax,top30,6,30,,,,,20,0.167070,69.72,23.366445,0.171777,4.40
softmax,top30,6,30,,,,,21,0.095239,69.50,24.150853,0.097102,5.41
softmax,top30,6,30,,,,,22,0.070159,69.46,24.737500,0.075040,4.28
softmax,top30,6,30,,,,,23,0.033938,71.21,24.999253,0.037263,4.85
softmax,top30,6,30,,,,,24,0.024110,70.63,25.469372,0.029382,4.56
softmax,top30,6,30,,,,,25,0.015199,71.19,25.908479,0.020245,5.44
softmax,top30,6,30,,,,,26,0.007619,70.82,26.488901,0.011187,6.00
softmax,top30,6,30,,,,,27,0.003739,71.20,26.619174,0.005256,6.94
softmax,top30,6,30,,,,,28,0.001516,69.98,27.078228,0.001518,6.90
softmax,top30,6,30,,,,,29,0.001097,70.45,27.256794,0.001068,7.43
softmax,top30,6,30,,,,,30,0.000617,69.98,27.473182,0.000387,7.93
softmax,top30,6,30,,,,,31,0.000577,69.39,27.649625,0.000359,8.47
softmax,top30,6,30,,,,,32,0.000823,68.73,27.999078,0.000952,8.19
softmax,top30,6,30,,,,,33,0.000378,68.51,28.339365,0.000118,7.97
softmax,top30,6,30,,,,,34,0.000361,68.38,28.574258,0.000102,8.20
softmax,top30,6,30,,,,,35,0.000340,68.49,28.748416,0.000075,8.23
softmax,top30,6,30,,,,,36,0.000322,68.36,28.827518,0.000052,8.85
softmax,top30,6,30,,,,,37,0.000315,67.97,29.071710,0.000047,7.71
softmax,top30,6,30,,,,,38,0.000308,68.57,29.196839,0.000039,8.49
softmax,top30,6,30,,,,,39,0.000304,68.59,29.386651,0.000037,7.65
softmax,top30,6,30,,,,,40,0.000299,68.05,29.355906,0.000030,7.19
softmax,top30,6,30,,,,,41,0.000295,67.90,29.355329,0.000026,6.23
softmax,top30,6,30,,,,,42,0.000293,67.23,29.377094,0.000024,5.97
softmax,top30,6,30,,,,,43,0.000290,66.86,29.501289,0.000020,5.51
softmax,top30,6,30,,,,,44,0.000287,66.39,29.618440,0.000017,5.18
softmax,top30,6,30,,,,,45,0.000285,66.65,29.594942,0.000014,5.44
softmax,top30,6,30,,,,,46,0.000283,65.82,29.714894,0.000012,5.17
softmax,top30,6,30,,,,,47,0.000282,65.48,29.744034,0.000011,5.32
softmax,top30,6,30,,,,,48,0.000281,66.12,29.745499,0.000010,6.75
softmax,top30,6,30,,,,,49,0.000280,65.20,29.807646,0.000009,6.24
softmax,top30,6,30,,,,,50,0.000279,65.43,29.794742,0.000008,6.66
softmax,top30,6,30,,,,,51,0.000278,64.87,29.808466,0.000007,6.97
softmax,top30,6,30,,,,,52,0.000278,65.40,29.820554,0.000006,6.61
softmax,top30,6,30,,,,,53,0.000277,65.14,29.853476,0.000006,6.94
softmax,top30,6,30,,,,,54,0.000277,65.53,29.868002,0.000005,7.50
softmax,top30,6,30,,,,,55,0.000276,65.53,29.842674,0.000005,7.67
softmax,top30,6,30,,,,,56,0.000276,65.73,29.933452,0.000004,7.77
softmax,top30,6,30,,,,,57,0.000275,65.63,30.004024,0.000004,7.74
softmax,top30,6,30,,,,,58,0.000275,65.49,30.043098,0.000003,8.08
softmax,top30,6,30,,,,,59,0.000275,65.17,30.043215,0.000003,8.05
softmax,top30,6,30,,,,,60,0.000275,65.33,30.033477,0.000003,8.21
softmax,top30,6,30,,,,,61,0.000274,64.92,30.023638,0.000002,8.23
softmax,top30,6,30,,,,,62,0.000274,65.23,30.068063,0.000002,8.05
softmax,top30,6,30,,,,,63,0.000274,65.38,30.024541,0.000002,8.55
softmax,top30,6,30,,,,,64,0.000274,65.34,30.037053,0.000002,8.90
softmax,top30,6,30,,,,,65,0.000274,65.41,30.022688,0.000001,8.46
softmax,top30,6,30,,,,,66,0.000273,65.10,30.009869,0.000001,7.90
softmax,top30,6,30,,,,,67,0.000273,65.65,30.003016,0.000001,7.95
softmax,top30,6,30,,,,,68,0.000273,65.41,30.028995,0.000001,8.39
softmax,top30,6,30,,,,,69,0.000273,66.07,30.050900,0.000001,8.65
softmax,top30,6,30,,,,,70,0.000273,65.67,30.047696,0.000001,8.59
softmax,top30,6,30,,,,,71,0.000273,65.46,30.064360,0.000001,8.64
softmax,top30,6,30,,,,,72,0.000273,65.50,30.104390,0.000001,8.28
softmax,top30,6,30,,,,,73,0.000273,65.06,30.106874,0.000001,8.25
softmax,top30,6,30,,,,,74,0.000273,65.09,30.119359,0.000001,7.96
softmax,top30,6,30,,,,,75,0.000273,64.93,30.096185,0.000000,8.75
softmax,top30,6,30,,,,,76,0.000273,65.37,30.089173,0.000000,8.95
softmax,top30,6,30,,,,,77,0.000273,64.88,30.086372,0.000000,8.74
softmax,top30,6,30,,,,,78,0.000273,65.12,30.101506,0.000000,8.75
softmax,top30,6,30,,,,,79,0.000273,65.65,30.116332,0.000000,8.33
softmax,top30,6,30,,,,,80,0.000273,65.23,30.122851,0.000000,8.42
softmax,top30,6,30,,,,,81,0.000273,64.69,30.116682,0.000000,7.93
softmax,top30,6,30,,,,,82,0.000273,64.65,30.062270,0.000000,7.92
softmax,top30,6,30,,,,,83,0.000273,64.59,30.087475,0.000000,7.54
softmax,top30,6,30,,,,,84,0.000273,64.75,30.116159,0.000000,7.63
softmax,top30,6,30,,,,,85,0.000273,64.27,30.121747,0.000000,7.61
softmax,top30,6,30,,,,,86,0.000272,65.08,30.133248,0.000000,8.02
softmax,top30,6,30,,,,,87,0.000272,64.70,30.162773,0.000000,7.41
