fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,stop_gen_mean,stop_gen_std,stop_gen_min,stop_gen_max,generation,mean_fitness,mean_accuracy,mean_error,fitness_std,accuracy_std
regret,top30,8,40,,,,,2,8.814824,50.67,,0.518174,1.56
regret,top30,8,40,,,,,3,8.450501,51.15,,0.973471,1.38
regret,top30,8,40,,,,,4,6.860227,53.12,,0.612649,2.0
regret,top30,8,40,,,,,5,6.657857,53.29,,0.168925,2.05
regret,top30,8,40,,,,,6,6.559283,54.87,,1.011055,1.91
regret,top30,8,40,,,,,7,5.158244,56.69,,0.628493,4.37
regret,top30,8,40,,,,,8,4.475084,58.28,,1.32844,4.86
regret,top30,8,40,,,,,9,4.089527,59.09,,1.049161,3.97
regret,top30,8,40,,,,,10,3.065579,62.04,,0.469999,3.42
regret,top30,8,40,,,,,11,2.866664,61.6,,0.61747,3.86
regret,top30,8,40,,,,,12,2.456517,63.95,,0.949585,4.3
regret,top30,8,40,,,,,13,1.66398,66.09,,0.546653,4.17
regret,top30,8,40,,,,,14,1.440415,66.1,,0.821498,4.46
regret,top30,8,40,,,,,15,1.337261,68.25,,0.578796,4.95
regret,top70,1,5,,,,,1,1.175941,49.87,,0.192202,1.14
regret,top70,1,5,,,,,2,0.890423,51.36,,0.241299,1.39
regret,top70,1,5,,,,,3,0.909028,51.93,,0.148979,1.44
regret,top70,1,5,,,,,4,0.64439,51.8,,0.1584,1.48
regret,top70,1,5,,,,,5,0.584866,52.63,,0.125061,2.43
regret,top70,1,5,,,,,6,0.591864,53.32,,0.175964,1.92
regret,top70,2,10,,,,,1,2.400653,49.98,,0.293265,1.93
regret,top70,2,10,,,,,2,2.26505,51.39,,0.20259,2.24
regret,top70,2,10,,,,,3,2.003253,50.18,,0.543442,2.62
regret,top70,2,10,,,,,4,1.491763,52.35,,0.137834,2.11
regret,top70,2,10,,,,,5,1.092573,52.39,,0.086047,1.81
regret,top70,2,10,,,,,6,0.71433,54.99,,0.204921,2.84
regret,top70,2,10,,,,,7,0.679178,55.82,,0.264275,2.92
