fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,total_rules,stop_gen_mean,stop_gen_std,stop_gen_min,stop_gen_max,best_fitness_mean,best_fitness_std,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,mse_chance_mean,mse_chance_std,mse_utility_mean,mse_utility_std,entropy_norm_mean,entropy_norm_std,util_dev_mean,util_dev_std
softmax,top10,8,40,20,30.00,8.22,24,46,1.450496,1.325323,95.00,3.16,90.00,100.00,0.872619,0.172890,10.584905,3.321196,0.669107,0.587262,44.412357,0.036533
softmax,top10,12,60,20,16.80,2.71,13,21,3.630582,1.591654,93.00,5.10,85.00,100.00,0.886101,0.179303,8.857031,3.047556,1.908058,1.409695,43.714460,0.466894
softmax,top30,1,5,20,6.60,1.36,5,9,0.000140,0.000131,84.00,8.00,70.00,95.00,0.745372,0.110826,4.760300,0.882327,7.989060,1.795146,41.171369,0.829110
softmax,top30,2,10,20,11.40,2.80,6,14,0.000156,0.000045,87.00,2.45,85.00,90.00,0.863850,0.267173,6.057224,1.907780,4.814040,0.893090,41.709359,1.791147
softmax,top30,4,20,20,18.00,1.79,16,21,0.117740,0.205196,92.00,4.00,85.00,95.00,0.891485,0.155489,6.647239,1.594210,1.238445,0.649348,44.168799,0.209782
softmax,top30,8,40,20,30.20,8.61,24,47,1.450515,1.325301,95.00,3.16,90.00,100.00,0.871735,0.173157,10.127498,3.892247,0.614834,0.628447,44.412279,0.036464
softmax,top30,12,60,20,16.80,2.71,13,21,3.630582,1.591654,93.00,5.10,85.00,100.00,0.886101,0.179303,8.857031,3.047556,1.908058,1.409695,43.714460,0.466894
softmax,top70,1,5,20,10.60,1.62,8,13,0.000048,0.000003,81.00,3.74,75.00,85.00,0.725110,0.068091,6.587592,1.727585,5.144869,1.764439,42.863033,1.282433
softmax,top70,2,10,20,18.80,3.92,15,24,0.000100,0.000016,86.00,6.63,75.00,95.00,0.889891,0.313171,8.176249,1.621528,2.353875,1.296455,44.207979,0.214253
softmax,top70,4,20,20,21.20,4.31,16,29,0.117734,0.205199,92.00,4.00,85.00,95.00,0.888325,0.138991,8.161563,1.415967,0.850980,0.670133,44.353079,0.113194
softmax,top70,8,40,20,30.20,8.61,24,47,1.450515,1.325301,95.00,3.16,90.00,100.00,0.871735,0.173157,10.127498,3.892247,0.614834,0.628447,44.412279,0.036464
softmax,top70,12,60,20,16.80,2.71,13,21,3.630582,1.591654,93.00,5.10,85.00,100.00,0.886101,0.179303,8.857031,3.047556,1.908058,1.409695,43.714460,0.466894
softmax,top90,1,5,20,15.00,2.61,11,19,0.000046,0.000000,84.00,6.63,75.00,95.00,0.710682,0.065948,11.883024,2.913530,2.790424,1.301062,43.865116,0.435469
softmax,top90,2,10,20,19.60,3.88,15,24,0.000099,0.000016,88.00,7.48,75.00,95.00,0.867487,0.288218,8.276249,1.716652,1.816759,1.088626,44.281002,0.128718
softmax,top90,4,20,20,21.20,4.31,16,29,0.117734,0.205199,92.00,4.00,85.00,95.00,0.888325,0.138991,8.161563,1.415967,0.850980,0.670133,44.353079,0.113194
softmax,top90,8,40,20,30.20,8.61,24,47,1.450515,1.325301,95.00,3.16,90.00,100.00,0.871735,0.173157,10.127498,3.892247,0.614834,0.628447,44.412279,0.036464
softmax,top90,12,60,20,16.80,2.71,13,21,3.630582,1.591654,93.00,5.10,85.00,100.00,0.886101,0.179303,8.857031,3.047556,1.908058,1.409695,43.714460,0.466894
regret,top10,1,5,20,1.00,0.00,1,1,0.000000,0.000000,79.00,5.83,70.00,85.00,0.622248,0.092837,7.308895,1.417350,8.123379,0.559495,44.080043,0.266595
regret,top10,2,10,20,1.00,0.00,1,1,0.000000,0.000000,79.00,5.83,70.00,85.00,0.622248,0.092837,7.308895,1.417350,8.123379,0.559495,44.080043,0.266595
regret,top10,4,20,20,2.40,1.85,1,6,0.000000,0.000000,80.00,7.07,70.00,90.00,0.660705,0.128882,6.634544,1.719008,9.033753,0.904790,43.268715,0.530990
regret,top10,8,40,20,12.60,3.56,8,18,0.000000,0.000000,90.00,4.47,85.00,95.00,0.841832,0.180180,5.807460,2.774923,4.673877,3.473532,42.422025,1.701151
regret,top10,12,60,20,19.40,2.58,15,22,0.000000,0.000000,96.00,5.83,85.00,100.00,1.179020,0.403253,13.587472,9.343200,2.401276,1.528051,37.904736,6.024860
regret,top30,1,5,20,1.00,0.00,1,1,0.000000,0.000000,79.00,5.83,70.00,85.00,0.622248,0.092837,7.308895,1.417350,8.123379,0.559495,44.080043,0.266595
regret,top30,2,10,20,1.40,0.49,1,2,0.000000,0.000000,82.00,4.00,75.00,85.00,0.600743,0.098461,6.381470,2.321408,8.833834,1.251071,42.845263,1.330219
regret,top30,4,20,20,9.40,3.44,6,14,0.000000,0.000000,85.00,0.00,85.00,85.00,0.838508,0.209013,6.910838,3.701704,4.454650,2.424448,42.718600,0.915309
regret,top30,8,40,20,20.80,1.72,18,23,0.000000,0.000000,97.00,4.00,90.00,100.00,0.961100,0.277876,12.616376,3.712400,1.345507,0.692920,43.974041,0.336571
regret,top30,12,60,20,21.60,3.01,17,26,0.000000,0.000000,99.00,2.00,95.00,100.00,1.147845,0.460917,11.931250,7.742054,1.900858,1.747260,38.987936,4.568188
regret,top70,1,5,20,3.60,0.80,3,5,0.000000,0.000000,83.00,4.00,80.00,90.00,0.648085,0.030853,5.301610,0.939049,8.784734,1.441413,41.384798,1.336922
regret,top70,2,10,20,11.20,6.18,3,22,0.000000,0.000000,83.00,6.78,75.00,95.00,0.744099,0.234444,6.114214,1.513309,4.512898,2.402306,42.906877,1.299097
regret,top70,4,20,20,20.40,2.33,16,22,0.000000,0.000000,95.00,5.48,85.00,100.00,0.789856,0.249841,9.566137,2.160456,1.442652,1.161205,44.286315,0.290077
regret,top70,8,40,20,22.80,0.98,22,24,0.000000,0.000000,96.00,5.83,85.00,100.00,0.890496,0.140059,14.904684,4.453391,0.970707,0.791251,42.082626,2.337072
regret,top70,12,60,20,24.60,1.36,23,26,0.000000,0.000000,99.00,2.00,95.00,100.00,0.919032,0.250562,13.037421,8.116030,1.518594,1.717654,37.381940,6.239277
regret,top90,1,5,20,10.60,4.22,6,17,0.000000,0.000000,85.00,5.48,75.00,90.00,0.825994,0.207487,6.552493,3.737557,6.226064,2.490457,40.052976,2.509029
regret,top90,2,10,20,19.00,3.35,14,22,0.000000,0.000000,89.00,4.90,85.00,95.00,0.687207,0.071857,7.054571,1.115859,1.480390,1.215622,44.084399,0.435774
regret,top90,4,20,20,22.00,0.00,22,22,0.000000,0.000000,93.00,6.78,85.00,100.00,0.807817,0.231650,10.220000,2.647822,0.864206,0.421774,44.124960,0.597732
regret,top90,8,40,20,23.00,0.89,22,24,0.000000,0.000000,96.00,5.83,85.00,100.00,0.931257,0.095757,15.643857,5.461252,0.951088,0.793341,40.714703,4.925186
regret,top90,12,60,20,24.60,1.36,23,26,0.000000,0.000000,99.00,2.00,95.00,100.00,0.919032,0.250562,13.037421,8.116030,1.518594,1.717654,37.381940,6.239277
entropy,top10,1,5,20,1.20,0.40,1,2,0.000810,0.000459,80.00,5.48,70.00,85.00,0.630270,0.105980,7.551883,1.445570,8.564354,0.559547,43.845740,0.514226
entropy,top10,2,10,20,5.00,2.53,1,7,0.003817,0.004113,80.00,4.47,75.00,85.00,0.653860,0.088173,5.892997,2.953036,8.065375,1.229066,41.665694,1.499355
entropy,top10,4,20,20,16.40,8.04,8,27,0.211022,0.410911,93.00,6.78,85.00,100.00,0.688855,0.041714,6.114328,2.719962,2.628252,1.809731,43.068843,1.177073
entropy,top10,8,40,20,20.20,4.92,12,26,0.602135,0.888582,93.00,2.45,90.00,95.00,0.950216,0.100508,9.948363,4.105691,1.967831,1.139966,44.129660,0.437502
entropy,top10,12,60,20,25.20,10.63,18,46,3.367148,2.411978,96.00,3.74,90.00,100.00,1.132203,0.096659,11.762722,4.870758,1.233923,1.300412,44.049737,0.376116
